n,Tournament Cache Branchless (O1),Tournament Cache Branchless (O2),Tournament Cache Branchless (O3),Tournament Cache Branchless (Os),Tournament Cache Branchless (Oz)
3,21,20,21,20,21
4,23,23,23,23,23
5,40,40,39,41,40
6,47,47,47,47,48
7,51,51,51,51,51
8,56,56,56,56,56
9,73,73,72,75,73
10,90,91,89,94,92
11,103,105,103,108,106
12,109,109,109,112,111
13,115,114,115,117,116
14,121,119,121,123,121
15,125,125,126,129,126
16,129,129,131,134,131
17,152,150,152,156,151
18,170,168,169,176,171
19,189,187,186,196,193
20,207,205,205,216,212
21,224,221,222,236,233
22,237,233,234,247,249
23,244,240,241,254,257
24,251,246,247,259,263
25,258,252,255,265,268
26,266,260,265,271,274
27,276,268,275,278,278
28,284,277,282,286,284
29,290,285,290,293,292
30,297,293,296,300,301
31,304,304,304,309,307
32,312,311,312,318,318
33,336,329,335,339,337
34,357,347,355,362,359
35,378,366,374,386,380
36,397,386,393,408,403
37,413,405,409,431,427
38,431,424,427,453,449
39,449,445,445,476,473
40,470,464,464,500,495
41,487,484,483,527,516
42,506,504,503,551,538
43,521,518,524,568,554
44,533,532,532,582,566
45,545,544,542,591,577
46,554,553,553,599,587
47,564,561,561,607,596
48,573,570,571,615,605
49,583,580,581,622,612
50,593,589,590,632,621
51,602,597,600,641,627
52,613,608,609,648,635
53,623,619,620,658,647
54,635,628,631,665,653
55,647,639,643,676,660
56,656,650,653,687,671
57,666,661,663,693,678
58,677,673,675,701,685
59,687,684,687,710,692
60,701,697,698,720,702
61,713,709,711,730,713
62,724,723,724,740,721
63,736,735,736,750,729
64,749,749,751,760,746
65,771,770,771,795,772
66,795,793,790,827,794
67,816,818,812,856,823
68,839,841,836,887,851
69,865,863,857,916,879
70,884,883,881,941,908
71,907,906,900,970,938
72,929,927,923,1001,965
73,950,947,944,1025,992
74,972,970,963,1053,1019
75,992,991,985,1079,1045
76,1014,1015,1012,1108,1072
77,1037,1032,1034,1130,1095
78,1056,1051,1052,1159,1121
79,1080,1077,1074,1189,1147
80,1104,1101,1095,1218,1175
81,1125,1123,1119,1245,1199
82,1156,1144,1146,1279,1231
83,1175,1168,1171,1306,1257
84,1195,1190,1188,1330,1279
85,1211,1210,1205,1356,1302
86,1231,1228,1223,1377,1320
87,1252,1243,1243,1398,1342
88,1266,1261,1261,1412,1358
89,1281,1275,1280,1431,1378
90,1297,1288,1291,1442,1389
91,1313,1301,1305,1457,1404
92,1325,1320,1320,1470,1419
93,1340,1330,1332,1480,1423
94,1354,1337,1343,1490,1436
95,1362,1348,1354,1499,1450
96,1377,1362,1368,1512,1459
97,1389,1374,1383,1526,1468
98,1400,1386,1391,1534,1478
99,1410,1400,1401,1542,1487
100,1426,1407,1414,1551,1494
