n,Tournament Tree,Tournament Cache,Tournament External,Tournament External Cache,Tournament Branchless,Tournament Cache Branchless,Tournament External Branchless,Tournament External Cache Branchless
3,30,25,23,25,24,24,23,21
4,51,42,41,42,42,41,40,37
5,73,61,64,63,63,61,64,56
6,93,79,80,79,81,75,78,68
7,126,105,107,106,110,101,105,91
8,150,118,125,123,128,118,122,106
9,189,152,160,157,163,146,157,133
10,219,179,191,184,193,169,185,156
11,247,206,218,215,221,191,214,179
12,266,224,241,229,236,206,235,189
13,316,259,275,268,281,242,268,224
14,344,277,302,291,305,261,291,242
15,375,303,326,314,332,284,313,261
16,401,321,350,332,354,303,334,279
17,450,362,394,376,399,337,378,311
18,495,401,435,415,438,370,417,343
19,542,440,476,457,482,402,457,375
20,580,469,511,493,516,430,491,402
21,626,503,543,526,560,466,530,438
22,656,529,575,553,591,491,562,463
23,687,548,604,579,621,511,592,485
24,715,570,634,601,645,529,618,503
25,764,603,674,640,689,566,654,534
26,804,631,708,670,723,594,686,557
27,843,658,745,704,756,619,715,582
28,876,684,779,721,782,642,744,603
29,912,710,808,748,817,668,775,627
30,946,734,838,780,845,692,803,648
31,986,761,871,806,876,717,830,670
32,1015,782,900,829,903,738,859,692
33,1073,830,954,877,960,780,906,729
34,1122,869,1004,926,1008,816,952,768
35,1173,913,1048,966,1054,855,998,806
36,1225,954,1098,1009,1105,894,1044,841
37,1280,1000,1145,1067,1157,935,1096,882
38,1337,1041,1195,1114,1211,973,1137,921
39,1386,1079,1237,1155,1254,1009,1183,959
40,1431,1115,1278,1198,1296,1045,1226,992
41,1486,1153,1324,1237,1349,1084,1270,1032
42,1535,1186,1366,1275,1404,1123,1313,1068
43,1579,1220,1404,1311,1442,1154,1355,1102
44,1621,1253,1443,1346,1480,1181,1397,1133
45,1658,1280,1480,1379,1517,1212,1432,1163
46,1695,1310,1520,1409,1549,1237,1467,1188
47,1735,1339,1563,1437,1582,1264,1507,1215
48,1768,1366,1593,1470,1618,1287,1539,1237
49,1823,1403,1639,1506,1660,1325,1585,1270
50,1873,1436,1682,1542,1703,1357,1625,1302
51,1919,1472,1717,1572,1745,1390,1664,1331
52,1965,1502,1761,1608,1785,1421,1699,1358
53,2009,1537,1805,1644,1819,1454,1741,1390
54,2051,1569,1844,1674,1854,1482,1772,1414
55,2090,1600,1887,1705,1895,1511,1810,1441
56,2132,1627,1926,1738,1928,1540,1843,1466
57,2178,1662,1962,1776,1963,1573,1880,1493
58,2217,1692,2001,1810,2001,1599,1918,1522
59,2262,1730,2039,1845,2041,1634,1953,1551
60,2298,1763,2085,1875,2076,1661,1983,1576
61,2342,1793,2123,1913,2112,1691,2017,1609
62,2386,1822,2160,1948,2152,1719,2055,1633
63,2428,1854,2200,1981,2188,1749,2089,1667
64,2461,1879,2242,2010,2218,1780,2124,1686
65,2533,1931,2338,2066,2280,1823,2183,1735
66,2593,1978,2402,2114,2341,1865,2235,1778
67,2658,2025,2459,2163,2395,1912,2292,1822
68,2711,2072,2514,2211,2454,1958,2343,1867
69,2775,2122,2565,2262,2517,1996,2394,1906
70,2832,2169,2615,2310,2567,2044,2440,1948
71,2887,2207,2658,2360,2629,2085,2497,1994
72,2950,2255,2714,2404,2681,2129,2549,2033
73,3015,2310,2762,2463,2745,2173,2606,2080
74,3072,2355,2815,2513,2800,2219,2651,2126
75,3132,2402,2856,2566,2859,2269,2707,2168
76,3190,2447,2909,2616,2906,2307,2757,2219
77,3250,2496,2955,2665,2968,2354,2809,2257
78,3306,2539,2993,2714,3021,2396,2860,2301
79,3358,2580,3043,2762,3074,2434,2906,2341
80,3417,2625,3089,2818,3125,2476,2961,2388
81,3483,2662,3136,2860,3184,2524,3004,2432
82,3542,2708,3183,2912,3247,2576,3060,2477
83,3593,2755,3228,2953,3319,2611,3105,2529
84,3649,2788,3276,3007,3382,2654,3153,2565
85,3708,2830,3324,3050,3427,2693,3201,2612
86,3758,2869,3369,3095,3473,2734,3251,2643
87,3808,2909,3419,3141,3524,2771,3296,2687
88,3858,2947,3466,3183,3575,2810,3347,2711
89,3895,2976,3511,3228,3614,2843,3393,2757
90,3957,3017,3560,3277,3666,2879,3449,2787
91,4004,3050,3597,3320,3711,2914,3483,2825
92,4040,3084,3655,3360,3752,2950,3534,2861
93,4087,3118,3691,3406,3800,2983,3581,2886
94,4137,3153,3738,3449,3837,3009,3629,2930
95,4189,3196,3780,3497,3880,3041,3673,2960
96,4224,3224,3829,3531,3908,3073,3720,2996
97,4290,3260,3880,3575,3949,3120,3773,3040
98,4357,3303,3933,3624,3997,3158,3812,3069
99,4408,3340,3973,3669,4045,3194,3860,3101
100,4462,3373,4027,3714,4091,3225,3911,3143
