n,Find Branchless Cache (Os),Find SIMD (Os)
3,1,4
4,1,5
5,2,7
6,3,8
7,4,10
8,5,11
9,6,13
10,8,15
11,9,16
12,10,18
13,12,20
14,13,21
15,15,23
16,16,24
17,18,27
18,20,29
19,22,30
20,24,32
21,26,33
22,28,35
23,30,37
24,33,38
25,35,41
26,38,43
27,40,45
28,43,46
29,46,48
30,48,50
31,52,51
32,55,53
33,58,56
34,61,58
35,71,60
36,75,62
37,71,63
38,75,65
39,79,67
40,91,68
41,95,72
42,99,74
43,104,76
44,108,77
45,113,79
46,107,81
47,112,83
48,116,84
49,121,88
50,125,90
51,130,92
52,135,94
53,140,96
54,145,98
55,150,100
56,155,101
57,161,106
58,166,108
59,171,109
60,177,111
61,182,113
62,188,115
63,194,117
64,200,119
65,206,123
66,213,126
67,219,127
68,225,129
69,231,131
70,238,133
71,244,135
72,251,137
73,258,142
74,265,144
75,294,146
76,303,147
77,312,150
78,319,152
79,327,154
80,335,156
81,344,161
82,353,162
83,362,165
84,370,167
85,379,169
86,387,171
87,395,173
88,404,175
89,414,180
90,422,183
91,398,185
92,406,187
93,415,189
94,424,191
95,465,193
96,475,195
97,486,201
98,493,203
99,504,205
100,512,207
