n,Find,Find Cache,Find Pair,Find Multiway,Find Multiway Cache,Find Multiway Var,Find Branchless Cache,Find Branchless Cache Unrolled
3,22,22,26,16,19,15,13,13
4,36,35,43,27,31,27,18,19
5,63,51,45,41,44,42,25,27
6,91,67,62,60,58,55,33,44
7,113,84,80,83,77,76,42,62
8,141,105,100,124,111,115,85,78
9,229,130,143,167,146,145,102,100
10,270,153,168,227,186,171,118,114
11,309,175,195,281,252,214,136,139
12,349,198,223,339,291,259,156,158
13,487,223,300,393,348,322,175,191
14,540,250,332,450,408,380,194,219
15,590,277,365,507,450,475,213,255
16,638,307,402,575,511,533,283,288
17,829,455,513,646,563,592,308,317
18,894,491,552,739,617,695,342,370
19,952,533,593,794,678,743,373,404
20,1009,561,638,849,733,831,410,437
21,1250,602,783,927,793,881,443,445
22,1326,641,831,1029,864,992,459,457
23,1394,683,878,1080,937,1052,468,464
24,1467,719,931,1156,1005,1080,592,589
25,1750,982,1112,1243,1077,1170,631,625
26,1839,1032,1167,1319,1156,1300,668,695
27,1921,1091,1223,1450,1255,1411,707,724
28,2000,1131,1283,1551,1333,1501,745,764
29,2333,1187,1498,1640,1439,1560,769,753
30,2432,1234,1560,1736,1518,1660,779,767
