n,Bubble,Bubble Branchless,Bubble Branchless Cache
3,208,92,88
4,329,129,135
5,425,240,208
6,573,382,281
7,733,495,387
8,896,601,494
9,1046,676,644
10,1262,912,771
11,1466,1095,945
12,1687,1300,1104
13,1895,1189,1317
14,2154,1503,1502
15,2435,1745,1727
16,2689,1994,1951
17,2927,1832,2232
18,3237,2222,2469
19,3541,2489,2776
20,3859,2784,3049
21,4153,2810,3388
22,4513,3265,3687
23,4850,3652,4045
24,5233,3974,4400
25,5572,4026,4814
26,6007,4592,5174
27,6404,5053,5590
28,6814,5432,6009
29,7252,5349,6524
30,7722,6006,6908
