n,Find Branchless Cache (O1),Find Branchless Cache (O2),Find Branchless Cache (O3),Find Branchless Cache (Os),Find Branchless Cache (Oz)
3,141,132,134,141,140
4,195,183,186,194,195
5,257,249,252,258,283
6,330,316,318,329,393
7,425,404,406,426,521
8,521,748,857,524,667
9,620,907,1022,621,832
10,753,1055,1190,749,1012
11,879,1232,1359,878,1213
12,1007,1426,1551,1004,1428
13,1138,1630,1741,1143,1664
14,1284,1823,1939,1282,1917
15,1441,1950,2097,1445,2188
16,1608,2713,2817,1603,2477
17,1774,3107,3104,1775,2783
18,1980,3309,3437,1971,3112
19,2176,3481,3752,2151,3454
20,2363,3635,4102,2349,3818
21,2575,3825,4442,2569,4191
22,2789,3987,4601,2773,4591
23,3024,4178,4709,3020,5017
24,3271,5244,5998,3240,5448
25,3501,5721,6341,3509,5898
26,3764,6053,6939,3754,6375
27,4018,6279,7093,4051,6862
28,4311,6521,7538,4305,7377
29,4578,6786,7748,4623,7900
30,4855,6990,7825,4888,9785
