n,Find,Find Cache,Find Pair,Find Multiway,Find Multiway Cache,Find Multiway Var,Find Branchless Cache,Find SIMD
3,200,196,195,173,162,167,142,351
4,315,300,302,272,277,248,202,485
5,451,405,416,393,424,372,267,581
6,593,535,532,542,604,542,344,697
7,729,664,666,754,755,724,433,840
8,983,837,843,914,858,832,539,977
9,1286,1041,1105,1105,1050,1198,655,1127
10,1682,1381,1531,1483,1343,1349,770,1251
11,1995,1689,1787,1863,1766,1874,902,1396
12,2491,2185,2062,2311,2231,2251,1035,1542
13,2870,2491,2575,2767,2572,2792,1186,1650
14,3339,3028,2972,3086,3052,3027,1356,1778
15,3721,3376,3304,3702,3490,3559,1515,1926
16,4104,3769,3650,4279,3861,4199,1689,2082
17,4529,4080,3963,4887,4497,4618,1887,2260
18,4926,4418,4301,5183,5021,5211,2081,2391
19,5327,4725,4648,5718,5437,6004,2292,2546
20,5799,5089,4998,6481,6024,6645,2513,2708
21,6280,5446,5392,7131,6433,7057,2746,2832
22,6773,5845,5780,7678,6775,7639,2980,2971
23,7271,6215,6167,8215,7677,8314,3233,3130
24,7733,6622,6600,9001,7850,9067,3491,3290
25,8248,7002,7016,9533,8765,9950,3773,3531
26,8801,7455,7456,10258,9340,10647,4057,3673
27,9342,7888,7790,10892,10156,11518,4357,3839
28,9905,8258,8368,11503,10872,12321,4663,4008
29,10471,8632,8883,12068,11404,13179,4980,4137
30,11260,9185,9351,13042,11801,15156,5300,4280
