n,Baseline (O1),Baseline (O2),Baseline (O3),Baseline (Os),Baseline (Oz)
3,68,68,68,68,68
4,103,103,103,103,103
5,115,115,115,115,115
6,152,152,152,152,152
7,163,163,163,164,163
8,199,199,199,200,199
9,211,211,211,212,211
10,249,249,249,249,249
11,261,261,261,261,260
12,298,298,299,299,298
13,309,309,309,310,309
14,350,350,350,351,350
15,359,359,359,359,359
16,401,401,401,402,401
17,407,407,407,408,407
18,450,450,450,451,450
19,456,457,456,457,456
20,497,498,497,498,497
21,507,507,507,508,507
22,549,549,549,550,549
23,555,555,554,556,554
24,603,603,603,604,603
25,606,606,606,607,605
26,653,653,653,655,653
27,655,655,655,657,655
28,703,703,703,704,703
29,705,705,705,706,705
30,753,753,753,754,753
31,753,754,754,755,753
32,806,807,807,808,806
33,805,805,805,807,805
34,858,858,858,859,858
35,853,855,854,856,854
36,907,908,907,909,907
37,907,907,907,909,907
38,977,977,978,979,977
39,957,957,958,959,957
40,1020,1020,1020,1022,1020
41,1008,1008,1009,1011,1008
42,1066,1068,1067,1069,1067
43,1056,1057,1057,1060,1057
44,1121,1122,1121,1123,1120
45,1108,1110,1109,1111,1109
46,1167,1169,1168,1170,1167
47,1162,1163,1163,1165,1162
48,1212,1213,1213,1216,1213
49,1213,1214,1214,1216,1213
50,1277,1279,1278,1281,1277
51,1265,1267,1265,1268,1264
52,1321,1323,1322,1326,1322
53,1307,1308,1307,1311,1307
54,1378,1380,1378,1381,1377
55,1370,1370,1371,1373,1370
56,1425,1424,1424,1427,1423
57,1414,1414,1414,1417,1413
58,1480,1483,1481,1483,1480
59,1466,1469,1468,1471,1466
60,1531,1529,1530,1532,1529
61,1519,1520,1520,1522,1518
62,1582,1582,1584,1587,1582
63,1572,1573,1572,1575,1571
64,1635,1636,1635,1638,1634
65,1620,1621,1621,1624,1620
66,1684,1686,1684,1688,1684
67,1668,1670,1668,1673,1668
68,1745,1746,1745,1749,1745
69,1731,1732,1732,1735,1731
70,1795,1796,1796,1800,1795
71,1771,1773,1771,1775,1771
72,1846,1849,1849,1852,1847
73,1824,1825,1824,1866,1823
74,1909,1913,1915,1918,1909
75,1875,1876,1875,1880,1874
76,1955,1957,1958,1960,1956
77,1928,1928,1929,1934,1928
78,2000,2002,2002,2006,2000
79,1980,1982,1981,1984,1979
80,2057,2058,2060,2062,2058
81,2031,2033,2032,2035,2031
82,2108,2110,2111,2115,2109
83,2086,2083,2083,2088,2082
84,2182,2184,2183,2187,2181
85,2130,2131,2130,2136,2130
86,2213,2214,2215,2219,2214
87,2182,2184,2184,2189,2182
88,2272,2275,2272,2278,2272
89,2234,2235,2236,2241,2234
90,2368,2369,2369,2373,2368
91,2292,2294,2293,2298,2293
92,2368,2369,2369,2374,2368
93,2346,2347,2346,2351,2345
94,2422,2424,2424,2429,2423
95,2395,2397,2396,2402,2395
96,2487,2490,2488,2493,2488
97,2454,2460,2456,2464,2458
98,2537,2538,2539,2546,2537
99,2501,2503,2504,2508,2501
100,2584,2585,2585,2593,2584
