n,Heap Cache (O1),Heap Cache (O2),Heap Cache (O3),Heap Cache (Os),Heap Cache (Oz)
3,27,24,24,24,24
4,41,33,34,35,35
5,56,44,47,48,47
6,77,60,65,65,65
7,102,80,89,86,88
8,118,93,102,102,100
9,136,106,117,118,116
10,160,123,141,139,135
11,187,145,166,161,159
12,212,163,189,183,180
13,239,187,213,205,204
14,269,210,241,234,231
15,304,237,268,262,262
16,324,253,285,281,279
17,344,267,300,299,300
18,370,288,328,324,327
19,399,310,356,349,352
20,425,331,384,374,379
21,453,355,410,397,403
22,486,379,442,426,434
23,522,407,469,457,466
24,551,430,494,484,493
25,579,451,519,508,519
26,613,479,554,538,551
27,651,511,588,572,586
28,687,538,621,603,619
29,721,571,651,631,648
30,760,603,687,670,686
31,801,635,714,703,724
32,826,653,740,729,747
33,849,676,762,752,765
34,879,702,799,783,797
35,913,728,828,814,826
36,944,759,866,848,853
37,976,784,897,876,878
38,1010,816,936,911,918
39,1050,847,964,943,952
40,1083,875,1001,977,982
41,1112,897,1033,1004,1005
42,1149,926,1075,1041,1046
43,1191,960,1117,1075,1080
44,1228,990,1160,1117,1119
45,1266,1024,1199,1145,1151
46,1311,1057,1238,1185,1195
47,1354,1090,1270,1219,1233
48,1385,1116,1300,1260,1269
49,1419,1157,1328,1292,1304
50,1456,1180,1368,1330,1347
51,1500,1232,1401,1368,1386
52,1538,1263,1448,1410,1423
53,1579,1303,1487,1448,1469
54,1629,1338,1534,1492,1510
55,1676,1383,1567,1528,1554
56,1713,1412,1606,1575,1594
57,1753,1448,1643,1610,1631
58,1798,1483,1685,1655,1675
59,1848,1530,1731,1696,1720
60,1901,1563,1773,1737,1762
61,1940,1604,1824,1772,1804
62,1993,1640,1867,1814,1849
63,2047,1680,1900,1856,1897
64,2081,1705,1935,1891,1922
65,2106,1730,1955,1917,1953
66,2146,1762,1995,1957,1986
67,2187,1789,2022,1991,2026
68,2227,1822,2066,2029,2054
69,2266,1850,2098,2060,2090
70,2312,1887,2143,2108,2132
71,2357,1920,2173,2142,2175
72,2396,1948,2209,2182,2203
73,2431,1977,2239,2207,2237
74,2479,2009,2286,2252,2277
75,2531,2054,2325,2285,2314
76,2578,2093,2375,2332,2349
77,2620,2126,2405,2356,2388
78,2676,2163,2458,2407,2429
79,2722,2202,2492,2445,2474
80,2759,2230,2530,2485,2505
81,2792,2263,2562,2512,2544
82,2847,2293,2618,2557,2587
83,2890,2340,2658,2596,2619
84,2943,2373,2704,2641,2654
85,2989,2415,2739,2672,2695
86,3048,2449,2796,2725,2745
87,3097,2497,2841,2764,2784
88,3150,2531,2886,2812,2825
89,3196,2573,2925,2843,2861
90,3252,2611,2979,2896,2912
91,3303,2657,3032,2936,2950
92,3363,2694,3085,2990,2988
93,3400,2737,3134,3022,3024
94,3460,2775,3190,3076,3077
95,3509,2819,3232,3120,3124
96,3560,2850,3268,3163,3153
97,3592,2884,3303,3195,3197
98,3644,2918,3346,3241,3239
99,3692,2958,3384,3283,3279
100,3745,2990,3428,3328,3322
