n,Heap,Heap Cache
3,21,24
4,33,34
5,47,47
6,67,64
7,90,87
8,107,99
9,123,115
10,146,135
11,173,158
12,198,178
13,224,201
14,256,230
15,290,260
16,311,276
17,330,297
18,359,323
19,387,344
20,416,371
21,443,391
22,480,424
23,517,450
24,546,478
25,573,498
26,611,534
27,648,560
28,685,594
29,717,621
30,763,661
31,806,694
32,830,721
33,854,734
34,889,770
35,923,793
36,957,828
37,987,850
38,1025,895
39,1066,918
40,1100,957
41,1125,974
42,1169,1020
43,1209,1046
44,1249,1089
45,1285,1115
46,1336,1166
47,1379,1193
48,1413,1236
49,1443,1257
50,1488,1311
51,1528,1339
52,1572,1390
53,1612,1420
54,1661,1478
55,1707,1505
56,1751,1554
57,1789,1585
58,1838,1640
59,1887,1670
60,1941,1722
61,1986,1753
62,2046,1808
63,2118,1841
64,2163,1878
65,2188,1894
66,2249,1941
67,2318,1961
68,2323,2006
69,2386,2022
70,2440,2079
71,2489,2097
72,2531,2141
73,2568,2153
74,2616,2210
75,2666,2229
76,2713,2287
77,2760,2301
78,2805,2367
79,2860,2388
80,2902,2443
81,2948,2449
82,2986,2511
83,3033,2527
84,3082,2596
85,3128,2610
86,3175,2683
87,3232,2704
88,3283,2774
89,3326,2785
90,3380,2857
91,3430,2873
92,3479,2941
93,3527,2957
94,3580,3028
95,3638,3053
96,3678,3116
97,3717,3121
98,3766,3185
99,3813,3199
100,3870,3267
