n,Insert Cache (O1),Insert Cache (O2),Insert Cache (O3),Insert Cache (Os),Insert Cache (Oz)
3,19,18,21,18,18
4,29,27,31,27,27
5,39,36,43,37,37
6,50,47,57,47,47
7,62,57,70,59,59
8,75,69,85,70,71
9,87,82,100,82,83
10,100,95,117,96,96
11,114,108,133,110,110
12,129,123,150,126,126
13,145,139,168,144,141
14,164,154,186,160,156
15,181,170,206,178,173
16,199,186,225,196,189
17,216,202,280,214,205
18,232,219,277,233,222
19,249,238,328,251,239
20,266,256,347,271,258
21,283,275,358,291,276
22,302,294,384,313,295
23,321,314,409,335,313
24,341,335,429,358,334
25,362,357,459,381,355
26,382,379,512,406,375
27,401,404,521,431,398
28,428,427,549,457,422
29,446,449,579,487,443
30,473,478,609,512,472
31,491,507,636,544,495
32,520,532,656,573,521
33,545,558,691,605,548
34,569,586,722,634,573
35,592,615,754,663,598
36,624,642,786,695,628
37,648,674,817,729,656
38,676,707,848,761,684
39,699,735,877,795,718
40,730,766,899,827,743
41,756,798,930,862,774
42,786,834,968,900,805
43,815,866,1002,934,839
44,848,901,1033,977,872
45,876,934,1060,1011,904
46,912,970,1093,1049,938
47,942,1007,1126,1090,974
48,977,1049,1148,1128,1007
49,1011,1085,1175,1177,1050
50,1042,1122,1214,1211,1083
51,1078,1162,1248,1257,1117
52,1115,1205,1285,1306,1159
53,1151,1246,1320,1349,1200
54,1185,1286,1350,1392,1235
55,1221,1329,1376,1441,1281
56,1260,1373,1401,1483,1314
57,1299,1419,1447,1531,1354
58,1332,1458,1469,1580,1397
59,1376,1504,1507,1628,1441
60,1413,1549,1541,1679,1485
61,1457,1597,1579,1730,1525
62,1495,1644,1605,1778,1571
63,1535,1695,1638,1832,1619
64,1577,1740,1663,1884,1663
65,1624,1793,1700,1941,1706
66,1671,1842,1736,1992,1755
67,1713,1889,1773,2051,1812
68,1751,1935,1808,2115,1854
69,1796,1986,1844,2156,1899
70,1844,2044,1930,2214,1960
71,1890,2096,1905,2274,1998
72,1933,2151,1936,2337,2047
73,1978,2196,1968,2388,2091
74,2030,2254,2001,2448,2142
75,2069,2302,2037,2503,2200
76,2121,2359,2075,2566,2244
77,2167,2421,2110,2627,2290
78,2221,2474,2146,2687,2349
79,2272,2534,2177,2755,2401
80,2322,2581,2201,2807,2454
81,2373,2650,2235,2879,2510
82,2424,2707,2273,2939,2564
83,2471,2767,2320,3017,2630
84,2532,2840,2354,3074,2681
85,2591,2891,2390,3143,2742
86,2641,2956,2425,3211,2803
87,2699,3022,2464,3287,2865
88,2762,3083,2488,3350,2926
89,2814,3157,2525,3423,3041
90,2871,3216,2570,3501,3040
91,2931,3289,2617,3565,3112
92,2985,3344,2648,3639,3166
93,3023,3412,2689,3704,3242
94,3092,3489,2725,3786,3299
95,3159,3553,2763,3872,3357
96,3208,3619,2784,3938,3423
97,3276,3704,2804,4011,3488
98,3306,3730,2843,4057,3521
99,3363,3810,2880,4126,3581
100,3420,3867,2915,4203,3644
