n,Insert (O1),Insert (O2),Insert (O3),Insert (Os),Insert (Oz)
3,20,18,18,18,18
4,30,27,27,27,27
5,41,37,37,37,38
6,52,47,47,48,49
7,65,58,58,61,62
8,80,70,70,75,75
9,95,84,84,88,90
10,109,98,98,104,104
11,124,113,112,121,122
12,139,127,127,138,139
13,153,145,144,157,158
14,185,161,160,176,177
15,191,178,177,197,198
16,208,195,195,219,219
17,226,212,210,239,240
18,242,227,227,260,261
19,259,245,244,280,282
20,276,263,262,300,303
21,294,281,281,320,324
22,311,300,300,341,346
23,330,320,319,361,368
24,350,340,339,383,390
25,370,361,360,405,412
26,391,382,381,426,434
27,412,404,403,449,458
28,435,425,425,472,481
29,457,448,448,496,505
30,481,471,470,520,530
31,508,504,505,550,560
32,540,532,532,578,588
33,566,557,556,605,616
34,593,582,582,632,644
35,621,607,607,659,673
36,649,634,633,688,702
37,678,661,660,718,741
38,705,688,687,749,775
39,735,714,713,779,805
40,766,742,741,810,838
41,796,769,769,843,868
42,826,798,798,877,898
43,857,828,828,906,933
44,888,858,858,941,956
45,920,889,889,974,996
46,952,921,920,1004,1034
47,985,953,952,1036,1073
48,1019,984,984,1072,1105
49,1053,1018,1018,1105,1141
50,1089,1053,1053,1140,1177
51,1126,1087,1087,1178,1215
52,1164,1123,1123,1213,1251
53,1200,1158,1157,1247,1288
54,1238,1192,1194,1285,1320
55,1275,1229,1230,1322,1362
56,1313,1268,1267,1360,1401
57,1353,1304,1304,1397,1439
58,1389,1341,1342,1436,1476
59,1429,1381,1380,1475,1517
60,1468,1419,1420,1515,1558
61,1509,1458,1459,1554,1588
62,1548,1499,1499,1594,1627
63,1589,1539,1540,1637,1680
64,1631,1581,1581,1680,1722
65,1673,1626,1624,1723,1769
66,1715,1667,1668,1771,1813
67,1757,1710,1710,1813,1857
68,1797,1747,1748,1855,1897
69,1838,1791,1790,1901,1945
70,1880,1833,1832,1946,1991
71,1923,1875,1876,1992,2035
72,1967,1919,1919,2037,2077
73,2010,1964,1963,2084,2127
74,2054,2006,2006,2128,2175
75,2097,2055,2056,2178,2222
76,2147,2107,2108,2230,2279
77,2200,2157,2156,2281,2333
78,2251,2201,2201,2331,2378
79,2304,2254,2250,2381,2434
80,2354,2298,2298,2428,2487
81,2405,2349,2351,2475,2538
82,2457,2401,2400,2523,2589
83,2508,2451,2450,2577,2641
84,2554,2498,2498,2624,2691
85,2607,2550,2557,2677,2744
86,2661,2602,2603,2731,2790
87,2702,2656,2656,2781,2830
88,2753,2710,2710,2825,2870
89,2807,2766,2766,2876,2928
90,2862,2788,2788,2916,2965
91,2916,2842,2842,2976,3018
92,2973,2897,2898,3028,3073
93,2997,2953,2951,3086,3129
94,3059,3016,3015,3146,3195
95,3116,3076,3075,3215,3270
96,3173,3134,3134,3260,3332
97,3234,3192,3192,3320,3397
98,3295,3250,3251,3381,3461
99,3351,3310,3308,3443,3528
100,3412,3370,3377,3517,3596
