n,Insert Cache Pair (O1),Insert Cache Pair (O2),Insert Cache Pair (O3),Insert Cache Pair (Os),Insert Cache Pair (Oz)
3,20,17,19,17,20
4,30,26,28,26,31
5,41,35,39,35,43
6,52,45,52,46,56
7,64,56,64,57,69
8,77,68,78,69,83
9,89,80,92,81,98
10,100,91,107,95,115
11,112,104,122,109,132
12,126,120,139,125,149
13,139,133,157,142,169
14,160,147,174,158,188
15,175,161,191,174,209
16,190,176,208,190,230
17,206,191,228,207,251
18,220,206,245,223,273
19,235,222,264,239,296
20,250,238,284,257,321
21,266,255,305,274,346
22,281,272,327,292,372
23,300,291,349,313,399
24,317,309,372,330,428
25,336,328,396,352,457
26,354,347,420,371,487
27,372,368,446,393,518
28,391,389,472,415,551
29,411,411,498,438,585
30,431,437,526,461,618
31,452,459,559,490,657
32,482,482,588,516,693
33,504,505,617,541,729
34,524,528,648,572,767
35,546,553,679,597,806
36,570,578,710,626,845
37,593,603,743,652,886
38,617,629,776,681,927
39,641,657,810,711,971
40,668,683,844,742,1014
41,692,712,880,772,1057
42,719,740,917,799,1103
43,747,769,953,832,1149
44,774,799,991,871,1197
45,802,829,1029,897,1246
46,830,860,1069,926,1294
47,859,892,1110,963,1344
48,889,923,1150,997,1396
49,920,956,1191,1031,1449
50,953,990,1234,1072,1501
51,982,1024,1277,1109,1556
52,1014,1059,1322,1146,1612
53,1048,1094,1366,1181,1667
54,1080,1130,1411,1217,1726
55,1115,1166,1458,1250,1783
56,1148,1203,1506,1293,1843
57,1183,1240,1553,1330,1903
58,1219,1277,1600,1382,1963
59,1254,1317,1650,1408,2027
60,1289,1356,1699,1447,2090
61,1327,1394,1750,1488,2151
62,1364,1435,1802,1527,2217
63,1401,1476,1853,1570,2283
64,1440,1517,1906,1615,2350
65,1480,1559,1961,1657,2417
66,1517,1601,2013,1707,2486
67,1557,1644,2066,1751,2553
68,1599,1689,2124,1793,2627
69,1639,1730,2179,1833,2697
70,1678,1775,2233,1887,2765
71,1717,1819,2290,1931,2837
72,1757,1863,2347,1973,2910
73,1798,1907,2406,2025,2984
74,1839,1952,2461,2070,3058
75,1881,1995,2521,2118,3134
76,1926,2043,2580,2173,3209
77,1967,2088,2639,2219,3286
78,2010,2136,2700,2272,3363
79,2053,2183,2761,2325,3443
80,2097,2231,2824,2376,3522
81,2143,2281,2888,2427,3603
82,2188,2330,2952,2485,3687
83,2236,2381,3018,2540,3775
84,2283,2435,3090,2593,3860
85,2330,2484,3151,2650,3938
86,2379,2539,3218,2712,4029
87,2426,2594,3290,2763,4116
88,2480,2653,3367,2824,4213
89,2533,2707,3434,2884,4300
90,2582,2759,3502,2918,4392
91,2636,2815,3573,2959,4479
92,2688,2873,3647,3015,4572
93,2732,2934,3720,3077,4668
94,2794,2993,3797,3157,4765
95,2850,3050,3871,3227,4859
96,2900,3106,3945,3297,4954
97,2954,3164,4020,3364,5050
98,3005,3222,4096,3428,5150
99,3059,3281,4171,3495,5245
100,3115,3340,4248,3562,5344
