n,Insert,Insert Cache,Insert Cache Pair
3,18,21,19
4,28,31,29
5,38,43,40
6,49,56,52
7,61,70,65
8,74,85,79
9,87,100,94
10,101,116,108
11,116,133,124
12,131,150,138
13,149,168,158
14,165,187,174
15,182,206,192
16,200,226,210
17,216,281,229
18,234,278,246
19,250,303,265
20,269,330,286
21,288,356,306
22,307,383,328
23,328,410,351
24,348,430,374
25,370,457,399
26,391,514,424
27,414,518,448
28,437,548,475
29,460,578,503
30,483,607,531
31,518,636,563
32,544,656,594
33,572,686,622
34,596,726,653
35,621,752,685
36,647,784,716
37,673,815,750
38,701,847,783
39,729,873,818
40,756,899,853
41,787,928,889
42,815,961,927
43,845,995,962
44,878,1027,1000
45,908,1060,1037
46,942,1091,1078
47,973,1121,1122
48,1004,1144,1161
49,1039,1177,1204
50,1075,1212,1249
51,1110,1249,1289
52,1145,1283,1334
53,1186,1315,1383
54,1219,1350,1428
55,1261,1377,1470
56,1296,1400,1525
57,1335,1435,1564
58,1370,1471,1617
59,1410,1502,1670
60,1448,1536,1712
61,1488,1581,1766
62,1530,1607,1821
63,1569,1638,1868
64,1611,1657,1918
65,1652,1694,1971
66,1700,1733,2035
67,1738,1766,2085
68,1781,1804,2139
69,1826,1837,2196
70,1866,1873,2250
71,1913,1904,2309
72,1957,1925,2366
73,2000,1958,2428
74,2051,1993,2484
75,2096,2029,2542
76,2143,2069,2608
77,2193,2105,2664
78,2240,2137,2725
79,2283,2173,2790
80,2343,2205,2857
81,2395,2230,2918
82,2443,2286,2979
83,2494,2305,3044
84,2539,2342,3115
85,2595,2386,3183
86,2649,2421,3251
87,2704,2455,3323
88,2754,2483,3391
89,2808,2520,3470
90,2852,2564,3543
91,2893,2609,3617
92,2943,2665,3677
93,3005,2697,3749
94,3071,2716,3837
95,3134,2758,3907
96,3184,2783,3988
97,3242,2828,4059
98,3310,2865,4141
99,3366,2908,4213
100,3436,2944,4290
