n,Tournament External Cache Branchless (O1),Tournament External Cache Branchless (O2),Tournament External Cache Branchless (O3),Tournament External Cache Branchless (Os),Tournament External Cache Branchless (Oz)
3,24,23,20,23,25
4,33,29,25,29,31
5,47,44,40,45,47
6,61,55,45,56,58
7,74,66,53,65,68
8,87,76,58,75,77
9,103,90,74,90,95
10,119,104,88,105,110
11,134,118,97,119,124
12,150,130,102,132,136
13,166,143,109,145,148
14,183,157,118,158,161
15,199,170,127,170,174
16,215,184,136,183,187
17,233,199,149,199,203
18,252,214,163,215,219
19,270,230,178,231,235
20,289,245,193,246,251
21,309,261,204,262,268
22,328,277,211,277,283
23,346,292,217,292,301
24,365,308,226,308,313
25,385,325,235,323,328
26,403,341,243,338,342
27,422,356,252,353,358
28,441,373,260,369,374
29,459,388,270,385,389
30,479,404,280,400,405
31,499,421,289,417,423
32,517,437,298,432,439
33,539,454,315,450,456
34,560,473,331,467,475
35,580,489,347,486,492
36,603,506,363,504,511
37,625,524,379,520,529
38,647,543,396,541,549
39,668,561,411,556,570
40,689,578,424,576,586
41,712,602,439,594,605
42,733,615,451,615,623
43,759,633,461,632,643
44,778,652,471,649,660
45,802,672,480,671,677
46,826,695,490,685,695
47,847,709,500,704,714
48,870,729,512,726,733
49,894,749,522,743,750
50,917,769,536,761,768
51,940,789,547,781,790
52,963,808,556,799,808
53,986,828,572,818,825
54,1012,847,581,840,846
55,1034,870,594,858,865
56,1061,888,608,879,887
57,1085,908,616,897,901
58,1107,925,633,915,920
59,1133,945,642,934,944
60,1156,965,654,953,955
61,1178,985,666,976,979
62,1203,1007,678,995,996
63,1230,1028,693,1013,1017
64,1250,1044,715,1032,1033
65,1279,1069,725,1055,1060
66,1303,1095,741,1076,1082
67,1329,1119,757,1103,1106
68,1358,1142,776,1122,1132
69,1381,1161,795,1145,1157
70,1407,1185,812,1170,1176
71,1432,1206,833,1184,1198
72,1455,1228,849,1207,1219
73,1480,1249,868,1228,1244
74,1505,1271,881,1257,1264
75,1530,1295,901,1271,1284
76,1559,1317,920,1293,1316
77,1585,1337,941,1316,1330
78,1601,1358,953,1333,1348
79,1634,1379,971,1358,1371
80,1657,1399,989,1376,1394
81,1686,1419,1008,1398,1417
82,1708,1438,1020,1415,1438
83,1734,1462,1037,1439,1459
84,1761,1483,1055,1463,1482
85,1791,1507,1071,1486,1506
86,1819,1530,1088,1512,1535
87,1845,1552,1102,1539,1552
88,1875,1574,1119,1562,1577
89,1904,1599,1136,1591,1606
90,1936,1624,1147,1613,1629
91,1961,1647,1165,1634,1652
92,1991,1668,1175,1658,1671
93,2020,1690,1193,1681,1694
94,2041,1712,1202,1714,1715
95,2079,1736,1224,1736,1737
96,2097,1759,1240,1748,1758
97,2123,1778,1243,1769,1784
98,2152,1800,1261,1797,1803
99,2181,1823,1272,1822,1829
100,2210,1844,1292,1841,1854
