n,Baseline (copy+sort),Find Branchless Cache (Oz),Find SIMD (O2),Insert Cache (O3),Insert Cache Pair (O1),Bubble Branchless Pair (O3),Heap Cache (O2),Tournament External Cache Branchless (O3)
3,69,13,35,21,20,17,24,20
4,105,19,48,31,30,27,33,24
5,114,26,58,42,41,38,44,40
6,150,35,70,56,52,52,60,45
7,163,43,85,70,64,66,81,50
8,199,53,100,84,76,82,94,56
9,211,64,115,99,88,98,106,72
10,249,76,128,115,99,116,124,87
11,260,88,144,132,112,135,146,95
12,305,102,160,149,126,154,164,100
13,308,115,172,167,139,177,187,108
14,348,130,186,185,159,195,212,116
15,357,147,202,204,175,219,239,124
16,396,162,218,224,189,252,254,134
17,406,180,238,277,204,271,269,146
18,451,198,251,285,219,309,289,161
19,455,218,267,325,234,353,313,176
20,504,237,284,345,250,395,332,190
21,505,258,296,354,266,439,355,201
22,548,279,311,379,281,486,383,209
23,556,302,327,405,299,535,410,216
24,601,325,344,424,316,574,430,224
25,605,350,367,453,334,614,452,231
26,649,375,381,508,353,655,480,239
27,653,402,397,534,371,697,513,248
28,702,429,415,554,390,740,539,256
29,703,458,428,573,410,782,569,265
30,749,487,443,601,430,826,599,275
31,753,518,460,629,452,873,633,285
32,802,548,477,649,481,927,654,294
33,803,702,503,680,502,970,675,309
34,858,612,517,712,523,1013,699,325
35,853,647,535,744,546,1056,726,341
36,907,681,553,776,569,1107,754,357
37,904,718,567,807,592,1155,777,373
38,956,996,581,837,616,1203,808,389
39,953,791,599,864,641,1255,842,404
40,1015,1070,616,888,666,1311,868,419
41,1004,869,643,920,692,1365,892,433
42,1064,1146,659,953,718,1413,929,446
43,1056,951,676,985,746,1480,960,456
44,1112,993,694,1029,774,1538,987,467
45,1104,1038,708,1050,801,1593,1017,476
46,1168,1081,724,1084,831,1646,1052,485
47,1157,1127,743,1110,859,1692,1090,496
48,1232,1173,762,1132,889,1744,1120,506
49,1219,1220,795,1166,920,1802,1155,518
50,1270,1268,811,1200,951,1870,1178,529
51,1261,1318,830,1235,982,1944,1240,540
52,1326,1367,849,1268,1014,2016,1270,552
53,1308,1421,865,1302,1047,2081,1315,565
54,1372,1471,881,1335,1080,2144,1350,575
55,1363,1524,900,1364,1113,2220,1382,587
56,1422,1577,919,1385,1148,2290,1409,599
57,1414,1634,955,1420,1183,2370,1454,611
58,1476,1687,972,1457,1219,2445,1486,623
59,1460,1745,991,1492,1253,2520,1538,635
60,1526,1803,1011,1526,1290,2600,1569,648
61,1516,1863,1027,1562,1326,2682,1614,661
62,1579,1921,1045,1599,1364,2753,1652,673
63,1564,1981,1063,1624,1402,2836,1695,687
64,1632,2042,1084,1648,1441,2926,1717,710
65,1623,2114,1125,1683,1479,3030,1743,715
66,1702,2169,1143,1718,1520,3113,1774,736
67,1670,2231,1161,1755,1557,3194,1804,752
68,1750,2295,1181,1790,1596,3290,1831,769
69,1724,2361,1197,1823,1637,3377,1866,788
70,1800,2427,1213,1855,1677,3465,1901,807
71,1772,2495,1230,1888,1717,3565,1938,824
72,1862,2559,1250,1911,1758,3657,1950,840
73,1822,2630,1292,1946,1798,3759,1985,855
74,1891,3330,1306,1982,1840,3859,2017,875
75,1874,3406,1326,2016,1881,3954,2060,891
76,1948,3490,1344,2050,1924,4054,2095,907
77,1929,3571,1359,2087,1968,4148,2134,924
78,2016,3708,1375,2119,2009,4255,2172,942
79,1982,3801,1396,2150,2057,4350,2217,961
80,2052,3891,1413,2172,2097,4451,2240,976
81,2025,3990,1458,2209,2143,4549,2272,995
82,2105,4077,1476,2264,2189,4647,2300,1010
83,2073,4160,1496,2287,2235,4754,2352,1027
84,2166,4251,1519,2327,2284,4855,2391,1045
85,2128,4346,1535,2366,2333,4962,2440,1062
86,2212,4447,1554,2407,2381,5073,2473,1077
87,2178,4539,1574,2436,2432,5185,2514,1092
88,2271,4636,1598,2462,2480,5284,2546,1105
89,2237,3872,1653,2502,2533,5390,2592,1124
90,2313,3956,1672,2543,2584,5494,2632,1137
91,2289,4042,1694,2584,2635,5601,2684,1152
92,2363,4128,1716,2636,2686,5707,2722,1167
93,2341,4222,1732,2660,2732,5824,2766,1178
94,2431,4711,1750,2697,2790,5941,2807,1193
95,2404,5139,1772,2746,2845,6056,2852,1207
96,2492,5147,1792,2760,2900,6182,2883,1222
97,2441,5199,1843,2801,2954,6297,2915,1237
98,2524,5261,1859,2840,3003,6407,2952,1248
99,2497,5368,1882,2875,3056,6527,2990,1262
100,2569,5460,1903,2915,3112,6641,3026,1276
