n,Baseline (copy+sort),Find Branchless Cache (Os),Find SIMD (Os),Insert Cache Pair (Os),Bubble Branchless (O3),Heap Cache (O3),Tournament Cache Branchless (O3)
3,698,141,394,190,91,244,206
4,1154,194,551,285,129,403,229
5,1203,259,699,388,239,546,396
6,1618,329,841,495,379,770,461
7,1708,424,961,606,490,919,490
8,2134,522,1106,719,596,1161,522
9,2207,618,1310,848,650,1354,699
10,2644,744,1473,989,881,1652,883
11,2687,875,1595,1138,1047,1787,1020
12,3173,1001,1748,1281,1255,2084,1056
13,3182,1138,1909,1454,1172,2200,1086
14,3766,1292,2077,1619,1518,2516,1123
15,3700,1441,2202,1783,1708,2698,1156
16,4267,1602,2357,1948,1928,3002,1186
17,4224,1771,2606,2110,1786,3286,1404
18,4771,1968,2777,2274,2168,3646,1595
19,4710,2145,2915,2447,2422,3899,1791
20,5315,2349,3066,2624,2656,4275,1994
21,5236,2569,3238,2810,2707,4377,2168
22,5779,2772,3410,2991,3158,4788,2279
23,5749,3021,3550,3190,3521,4949,2346
24,6398,3240,3706,3402,3836,5346,2394
25,6251,3515,4021,3600,4258,5417,2446
26,6891,3749,4206,3833,4562,5853,2507
27,6774,4058,4351,4026,5234,6009,2573
28,7457,4307,4512,4242,5616,6387,2645
29,7284,4631,4688,4474,5699,6550,2713
30,7919,4901,4880,4716,6258,6933,2789
