n,Bubble Branchless Cache (O1),Bubble Branchless Cache (O2),Bubble Branchless Cache (O3),Bubble Branchless Cache (Os),Bubble Branchless Cache (Oz)
3,85,129,122,85,86
4,136,208,199,133,138
5,204,328,318,200,205
6,292,447,434,289,299
7,396,544,522,398,397
8,517,706,668,527,525
9,654,792,795,675,653
10,804,970,957,839,813
11,972,1161,1091,1022,972
12,1155,1374,1299,1222,1164
13,1352,1524,1491,1442,1356
14,1568,1767,1733,1679,1579
15,1798,1963,1937,1932,1801
16,2048,2237,2203,2206,2059
17,2309,2545,2553,2499,2311
18,2589,2853,2790,2805,2596
19,2880,3041,3005,3133,2884
20,3194,3383,3351,3479,3201
21,3521,3691,3600,3844,3523
22,3872,4065,3974,4230,3878
23,4226,4360,4310,4630,4229
24,4605,4768,4726,5053,4612
25,4998,5140,5036,5494,5000
26,5408,5579,5466,5946,5413
27,5835,5922,5867,6427,5839
28,6278,6401,6344,6921,6282
29,6736,6830,6703,7437,6745
30,7208,7335,7206,7966,7218
