n,Bubble Branchless (O1),Bubble Branchless (O2),Bubble Branchless (O3),Bubble Branchless (Os),Bubble Branchless (Oz)
3,125,93,91,92,125
4,169,128,127,129,168
5,220,186,169,177,217
6,285,313,240,248,277
7,382,680,312,316,371
8,492,865,404,408,475
9,619,498,451,511,604
10,781,681,582,628,778
11,985,801,708,761,1000
12,1232,955,854,907,1237
13,1495,992,943,1065,1516
14,1812,1256,1155,1237,1831
15,2138,1407,1336,1419,2174
16,2557,1617,1546,1620,2582
17,3000,1703,1648,1831,3034
18,3504,1992,1921,2050,3522
19,4109,2223,2167,2291,4136
20,4748,2479,2421,2540,4764
21,5386,2644,2563,2814,5426
22,6048,3034,2909,3092,6086
23,6708,3304,3220,3388,6752
24,7441,3645,3530,3695,7500
25,8163,3808,3741,4018,8228
26,8917,4273,4155,4352,8992
27,9687,4599,4521,4702,9776
28,10498,4964,4876,5056,10592
29,11374,5158,5090,5442,11472
30,12259,5646,5556,5823,12346
