n,Bubble Branchless Pair (O1),Bubble Branchless Pair (O2),Bubble Branchless Pair (O3),Bubble Branchless Pair (Os),Bubble Branchless Pair (Oz)
3,285,178,174,242,259
4,472,275,275,388,432
5,686,391,387,562,636
6,906,518,516,765,869
7,1195,665,655,997,1133
8,1454,822,813,1309,1425
9,1818,999,967,1682,1774
10,2154,1183,1124,1993,2167
11,2530,1393,1306,2289,2534
12,2912,1611,1510,2699,2903
13,3522,1837,1700,3062,3368
14,3946,2061,1914,3461,3847
15,4459,2380,2138,3899,4353
16,4934,2566,2374,4362,5565
17,5491,2893,2663,5416,6195
18,6096,3328,3061,6021,6868
19,6575,3663,3492,6575,7501
20,7318,4017,4002,7182,8286
21,7928,4455,4358,7826,9218
22,8604,4886,4831,8482,9812
23,9280,5345,5219,9100,10472
24,10009,5812,5684,9742,11225
25,10862,6290,6086,10526,12099
26,11560,6722,6527,11355,12947
27,12385,7206,6969,12071,14034
28,13181,7697,7375,12998,14914
29,14039,8219,7730,13788,15830
30,14889,8776,8171,14661,16797
