n,Bubble Branchless,Bubble Branchless Cache,Bubble Branchless Unrolled,Bubble Branchless Unrolled Cache,Double Bubble,Double Bubble Unrolled
3,91,87,106,58,111,79
4,129,132,140,82,164,130
5,238,206,174,128,198,176
6,379,278,211,263,239,216
7,490,385,263,320,290,259
8,595,491,314,369,362,348
9,671,639,380,440,442,395
10,902,827,457,681,559,497
11,1072,938,805,723,669,610
12,1247,1100,669,791,834,753
13,1176,1306,826,916,1015,929
14,1487,1492,1356,1075,1263,1212
15,1704,1721,1551,1290,1494,1369
16,1927,1944,1257,1549,1770,1630
17,1820,2211,1443,1650,1980,1876
18,2205,2458,1564,1836,2290,2201
19,2456,2748,1804,2191,2564,2484
20,2738,3035,2711,2405,2914,2788
21,2779,3367,2194,3332,3227,3117
22,3249,3675,3272,4652,3649,3494
23,3547,4019,2690,3891,3967,3815
24,3894,4374,3066,4236,4386,4181
25,4021,4783,4449,4705,4766,4787
26,4578,5137,3622,4990,5227,5218
27,4884,5546,3945,5503,5642,5795
28,5323,5967,4252,5913,6148,6119
29,5309,6437,4565,8440,6573,6614
30,5959,6854,4794,6653,7179,7119
