n,Baseline (copy+sort),Baseline (copy+wolfsort),Tournament Cache Branchless
3,69,12,21
4,110,19,23
5,119,35,40
6,157,44,47
7,167,54,51
8,208,60,56
9,215,62,74
10,257,70,91
11,264,79,104
12,308,84,109
13,311,98,113
14,361,106,120
15,361,116,125
16,409,123,129
17,411,143,150
18,464,153,169
19,460,164,186
20,515,170,208
21,511,189,223
22,568,197,234
23,563,205,240
24,619,213,246
25,613,224,253
26,665,235,260
27,663,244,269
28,722,251,276
29,718,266,285
30,771,277,294
31,767,289,303
32,831,295,312
33,816,310,335
34,876,317,349
35,861,335,367
36,926,342,394
37,921,360,405
38,993,371,426
39,965,381,445
40,1038,392,466
41,1019,400,486
42,1110,409,504
43,1071,419,520
44,1144,428,534
45,1124,440,543
46,1203,449,553
47,1172,465,562
48,1243,470,569
49,1225,487,579
50,1313,497,589
51,1278,518,604
52,1356,526,609
53,1324,539,619
54,1426,549,634
55,1384,565,640
56,1450,573,652
57,1423,590,663
58,1511,598,675
59,1484,610,712
60,1558,622,702
61,1538,634,712
62,1625,644,725
63,1585,660,737
64,1669,667,755
65,1647,682,773
66,1728,695,795
67,1688,713,825
68,1792,749,845
69,1755,767,871
70,1849,780,888
71,1790,798,907
72,1891,809,932
73,1849,823,948
74,1936,835,971
75,1903,849,995
76,1999,864,1014
77,1959,875,1035
78,2051,883,1055
79,2001,892,1080
80,2101,902,1101
81,2063,921,1124
82,2164,924,1148
83,2106,938,1171
84,2228,952,1190
85,2163,969,1218
86,2258,981,1229
87,2221,990,1247
88,2321,998,1262
89,2266,1015,1275
90,2376,1027,1292
91,2326,1038,1308
92,2420,1050,1320
93,2369,1063,1331
94,2494,1071,1338
95,2421,1088,1354
96,2546,1095,1365
97,2469,1110,1378
98,2578,1121,1388
99,2538,1136,1402
100,2644,1150,1411
