n,Heap,Heap Branchless,Heap (STL Naive)
3,22,16,26
4,34,31,46
5,47,45,67
6,65,59,89
7,91,62,115
8,106,92,141
9,125,119,174
10,146,141,205
11,174,149,238
12,199,168,276
13,226,181,321
14,256,201,352
15,294,209,399
16,327,251,439
17,340,288,481
18,369,335,514
19,393,355,552
20,429,399,590
21,447,404,643
22,502,398,675
23,535,394,726
24,561,384,796
25,592,395,837
26,625,398,876
27,665,411,926
28,709,421,982
29,755,444,1043
30,790,457,1076
31,840,490,1132
32,885,515,1169
33,900,528,1225
34,942,580,1257
35,986,593,1299
36,1029,660,1347
37,1038,676,1399
38,1090,742,1440
39,1099,753,1490
40,1166,827,1564
41,1184,821,1609
42,1218,864,1650
43,1244,853,1703
44,1306,879,1760
45,1332,861,1830
46,1363,887,1863
47,1408,872,1930
48,1457,899,2016
49,1467,870,2075
50,1528,902,2116
51,1561,880,2176
52,1607,912,2224
53,1655,888,2293
54,1714,921,2339
55,1784,899,2403
56,1819,937,2487
57,1870,905,2544
58,1920,942,2585
59,1967,920,2652
60,2014,955,2709
61,2068,931,2770
62,2119,966,2813
63,2186,946,2889
64,2220,1025,2911
65,2245,1068,2978
66,2294,1152,3014
67,2332,1178,3073
68,2375,1271,3108
69,2409,1302,3184
70,2459,1381,3215
71,2503,1409,3289
72,2546,1506,3360
73,2569,1539,3411
74,2621,1621,3458
75,2663,1643,3523
76,2705,1742,3573
77,2734,1763,3648
78,2792,1853,3698
79,2831,1864,3765
80,2867,1967,3856
81,2900,1978,3925
82,2952,2057,3960
83,2991,2057,4041
84,3038,2125,4067
85,3080,2122,4142
86,3123,2175,4186
87,3164,2170,4264
88,3214,2211,4345
89,3253,2193,4414
90,3307,2237,4442
91,3353,2222,4509
92,3400,2252,4553
93,3449,2238,4623
94,3499,2266,4680
95,3554,2258,4750
96,3598,2286,4870
97,3616,2262,4953
98,3669,2297,4981
99,3705,2277,5060
100,3751,2314,5091
