n,Heap Branchless Parallel,Heap 4ary Branchless Parallel,Heap 8ary Parallel SIMD
3,12,10,28
4,29,15,37
5,35,19,48
6,39,40,54
7,45,52,62
8,68,61,71
9,79,69,80
10,84,73,118
11,91,79,136
12,91,85,154
13,97,92,172
14,98,99,191
15,105,106,209
16,134,113,228
17,151,120,246
18,181,129,277
19,190,136,292
20,192,144,311
21,197,151,331
22,193,177,347
23,200,193,363
24,192,209,378
25,198,224,396
26,196,248,426
27,202,264,438
28,197,278,462
29,205,294,479
30,202,311,498
31,209,322,510
32,250,333,531
33,266,341,550
34,297,341,560
35,313,350,577
36,351,357,594
37,370,366,610
38,405,366,627
39,424,377,645
40,458,384,664
41,472,388,679
42,486,391,703
43,498,405,718
44,493,411,751
45,503,418,744
46,500,422,773
47,511,433,789
48,503,445,808
49,512,451,817
50,510,458,813
51,520,467,830
52,517,478,849
53,526,488,865
54,526,491,882
55,539,500,901
56,531,513,918
57,541,521,937
58,537,527,925
59,547,538,944
60,542,548,961
61,551,557,981
62,550,564,999
63,561,575,1018
64,636,584,1035
65,663,595,1054
66,699,600,1023
67,720,618,1043
68,762,622,1057
69,776,632,1077
70,803,634,1091
71,912,642,1118
72,862,651,1125
73,879,666,1140
74,918,664,1223
75,935,677,1281
76,974,682,1341
77,1002,693,1386
78,1032,697,1431
79,1053,701,1473
80,1101,718,1512
81,1120,723,1555
82,1153,729,1587
83,1170,738,1625
84,1193,752,1660
85,1208,760,1695
86,1225,793,1725
87,1234,816,1758
88,1233,837,1790
89,1240,861,1824
90,1247,891,1863
91,1251,911,1892
92,1256,933,1922
93,1267,952,1960
94,1265,975,1988
95,1277,999,2019
96,1273,1012,2051
97,1287,1033,2083
98,1291,1059,2112
99,1297,1078,2140
100,1300,1100,2179
