n,Heap Branchless,Heap Branchless Pair,Heap Branchless Parallel
3,15,13,12
4,31,29,28
5,43,36,34
6,59,42,39
7,64,49,46
8,88,72,65
9,119,83,74
10,137,83,81
11,148,90,88
12,163,90,89
13,181,97,97
14,201,99,98
15,213,106,105
16,249,141,133
17,288,158,148
18,329,187,174
19,354,203,189
20,391,218,187
21,407,227,191
22,405,229,185
23,414,239,191
24,388,239,186
25,415,248,192
26,408,252,192
27,447,261,199
28,456,263,195
29,480,273,202
30,508,277,201
31,511,287,208
32,578,327,247
33,607,348,264
34,651,382,297
35,659,401,309
36,702,439,344
37,708,460,361
38,750,493,392
39,754,514,410
40,809,543,443
41,807,558,455
42,843,570,471
43,838,582,479
44,858,586,478
45,857,595,486
46,872,602,483
47,883,614,496
48,892,617,487
49,905,631,495
50,910,638,495
51,931,651,516
52,929,657,512
53,950,670,510
54,957,678,513
55,970,692,523
56,965,693,518
57,969,707,531
58,971,712,528
59,974,725,536
60,970,726,534
61,956,740,545
62,965,750,549
63,949,761,568
64,1025,812,601
65,1126,840,625
66,1191,885,687
67,1261,909,688
68,1335,957,731
69,1395,981,754
70,1459,1017,791
71,1500,1042,814
72,1568,1085,852
73,1607,1105,870
74,1661,1141,903
75,1698,1166,923
76,1762,1207,964
77,1789,1227,985
78,1842,1263,1018
79,1871,1288,1039
80,1941,1328,1073
81,1946,1347,1093
82,2007,1374,1117
83,2011,1390,1133
84,2065,1412,1153
85,2064,1429,1163
86,2120,1446,1172
87,2117,1463,1187
88,2161,1473,1187
89,2154,1492,1203
90,2205,1498,1199
91,2195,1516,1215
92,2223,1521,1208
93,2222,1539,1218
94,2253,1545,1227
95,2256,1567,1237
96,2274,1566,1242
97,2282,1582,1251
98,2299,1590,1249
99,2308,1606,1261
100,2316,1612,1263
