n,Heap 4ary Branchless Parallel (O1),Heap 4ary Branchless Parallel (O2),Heap 4ary Branchless Parallel (O3),Heap 4ary Branchless Parallel (Os),Heap 4ary Branchless Parallel (Oz)
3,11,11,10,10,11
4,15,15,14,14,14
5,21,21,19,19,19
6,44,39,40,42,42
7,56,50,52,54,56
8,66,62,61,63,64
9,74,73,69,71,71
10,79,90,73,75,74
11,85,100,79,82,81
12,92,111,85,88,87
13,100,122,92,95,94
14,105,139,99,101,99
15,112,149,105,108,105
16,120,160,112,114,112
17,127,170,118,122,119
18,132,198,128,130,129
19,139,210,135,138,137
20,146,233,143,145,145
21,152,231,150,152,153
22,181,258,175,177,190
23,199,274,191,192,211
24,217,290,207,207,229
25,235,305,223,222,248
26,261,325,246,246,275
27,277,340,261,263,291
28,294,356,277,279,308
29,309,372,290,295,322
30,329,391,308,318,330
31,342,407,320,332,339
32,355,422,331,344,349
33,366,437,339,355,357
34,371,456,343,355,355
35,382,472,350,365,363
36,389,488,358,372,371
37,398,504,367,380,380
38,399,525,365,381,378
39,409,541,372,390,386
40,418,557,380,398,395
41,427,573,388,406,403
42,432,593,392,409,406
43,442,610,400,418,416
44,452,625,409,428,425
45,462,642,418,437,434
46,467,661,422,441,438
47,478,679,431,451,448
48,488,704,440,462,457
49,500,712,450,471,467
50,505,732,455,476,472
51,515,749,464,487,482
52,526,766,474,497,492
53,536,784,485,507,502
54,539,805,488,510,505
55,549,822,498,520,515
56,560,840,508,530,525
57,569,858,518,540,534
58,573,879,523,544,540
59,584,896,533,554,550
60,595,914,543,565,559
61,606,931,553,576,570
62,610,953,559,580,576
63,621,971,569,590,587
64,632,988,580,601,596
65,644,1006,591,611,607
66,649,1026,596,615,612
67,660,1044,606,625,624
68,671,1060,616,636,633
69,681,1078,626,645,644
70,685,1099,629,645,647
71,697,1117,637,655,656
72,704,1133,645,662,668
73,714,1149,654,671,673
74,718,1170,657,671,677
75,731,1186,665,680,685
76,737,1201,674,689,694
77,747,1219,682,697,703
78,753,1237,686,698,706
79,762,1255,695,708,716
80,773,1272,704,718,725
81,784,1289,714,727,737
82,790,1310,720,735,745
83,801,1327,730,745,756
84,813,1346,741,753,766
85,824,1364,751,764,781
86,865,1391,786,797,812
87,888,1414,808,819,834
88,912,1435,830,841,857
89,940,1459,851,869,876
90,972,1493,886,894,907
91,995,1508,903,916,928
92,1018,1529,921,938,949
93,1038,1551,941,957,972
94,1075,1575,969,987,999
95,1097,1597,987,1008,1020
96,1119,1617,1005,1027,1040
97,1142,1638,1023,1046,1061
98,1174,1663,1055,1074,1091
99,1197,1683,1070,1095,1113
100,1219,1705,1095,1115,1132
