n,Heap Branchless Parallel (O1),Heap Branchless Parallel (O2),Heap Branchless Parallel (O3),Heap Branchless Parallel (Os),Heap Branchless Parallel (Oz)
3,12,12,12,12,12
4,29,28,28,28,28
5,35,34,35,35,34
6,39,38,38,38,37
7,45,44,45,44,44
8,69,67,67,67,68
9,80,78,78,79,79
10,80,81,83,86,82
11,86,87,90,93,89
12,81,90,90,92,90
13,86,97,96,98,96
14,84,96,97,97,98
15,90,104,104,104,105
16,128,135,133,136,138
17,145,148,149,152,155
18,174,171,176,182,178
19,188,184,188,196,190
20,202,191,190,197,192
21,210,197,195,203,199
22,207,193,191,198,194
23,214,199,197,204,201
24,204,191,190,195,194
25,209,196,196,201,200
26,204,193,193,198,197
27,211,199,200,205,203
28,204,193,195,198,198
29,210,200,202,205,205
30,206,198,199,203,204
31,214,205,206,210,211
32,259,246,245,259,250
33,281,266,264,277,269
34,320,299,294,306,304
35,340,317,311,323,323
36,385,357,347,359,362
37,406,378,367,378,380
38,440,414,403,413,411
39,458,431,418,435,429
40,489,465,454,471,467
41,504,479,469,486,477
42,513,488,481,496,489
43,524,497,493,508,500
44,523,490,489,504,497
45,531,498,498,512,508
46,530,494,495,514,505
47,540,504,505,518,515
48,531,496,497,510,506
49,539,504,506,517,514
50,536,503,505,515,510
51,546,513,514,524,519
52,540,509,511,518,513
53,548,519,521,528,523
54,546,518,521,525,521
55,558,540,531,536,531
56,549,521,524,527,526
57,558,529,533,535,534
58,558,528,531,533,535
59,568,539,541,543,545
60,563,535,535,537,542
61,574,545,545,547,552
62,573,546,544,551,552
63,584,557,555,561,563
64,633,609,628,616,611
65,658,636,654,643,636
66,699,680,693,685,679
67,723,704,713,721,698
68,768,749,747,754,745
69,793,773,767,777,766
70,832,811,797,815,802
71,853,832,816,837,824
72,900,874,852,879,870
73,935,897,873,902,894
74,965,934,904,938,931
75,987,955,924,961,953
76,1031,1005,966,1004,995
77,1056,1019,986,1024,1017
78,1109,1055,1020,1062,1052
79,1114,1075,1041,1084,1077
80,1160,1119,1091,1133,1118
81,1182,1139,1112,1150,1135
82,1213,1171,1143,1182,1164
83,1230,1185,1160,1202,1183
84,1250,1204,1182,1218,1202
85,1266,1218,1195,1233,1219
86,1280,1224,1205,1241,1228
87,1292,1239,1219,1254,1242
88,1306,1237,1220,1254,1247
89,1309,1246,1231,1266,1297
90,1312,1244,1231,1268,1269
91,1327,1269,1243,1278,1285
92,1323,1253,1240,1274,1308
93,1336,1266,1251,1285,1288
94,1339,1268,1252,1285,1290
95,1354,1281,1265,1298,1303
96,1348,1276,1268,1291,1299
97,1360,1287,1290,1300,1308
98,1360,1289,1273,1307,1310
99,1373,1307,1286,1313,1322
100,1371,1302,1292,1308,1321
