n,Heap Branchless Parallel,Tournament Cache Branchless
3,1,2
4,2,2
5,3,4
6,3,4
7,4,5
8,6,5
9,7,7
10,8,9
11,9,10
12,9,11
13,9,11
14,9,12
15,10,12
16,13,13
17,15,15
18,18,17
19,18,19
20,19,21
21,19,22
22,19,23
23,20,24
24,19,25
25,19,25
26,19,26
27,20,27
28,19,27
29,20,28
30,19,29
31,20,30
32,24,31
33,26,33
34,29,35
35,31,37
36,35,39
37,37,41
38,40,43
39,42,45
40,45,47
41,47,49
42,48,51
43,49,52
44,48,53
45,49,54
46,48,55
47,49,56
48,48,56
49,49,57
50,49,58
51,50,59
52,50,60
53,52,61
54,50,62
55,51,63
56,51,64
57,51,65
58,51,66
59,52,67
60,51,68
61,52,69
62,52,70
63,53,71
64,61,72
65,63,75
66,67,77
67,69,79
68,73,82
69,75,84
70,78,86
71,80,89
72,84,91
73,86,94
74,90,96
75,92,98
76,96,100
77,98,103
78,102,105
79,104,107
80,109,110
81,110,112
82,114,114
83,116,116
84,117,118
85,118,120
86,120,122
87,120,123
88,120,125
89,121,126
90,121,128
91,122,129
92,122,131
93,123,132
94,122,133
95,124,134
96,125,135
97,125,136
98,125,138
99,126,140
100,126,140
101,127,141
102,128,142
103,129,143
104,129,145
105,129,146
106,130,147
107,131,148
108,131,149
109,132,151
110,133,151
111,133,153
112,133,154
113,134,155
114,134,156
115,135,157
116,136,159
117,136,159
118,136,161
119,137,161
120,137,163
121,138,164
122,137,165
123,140,166
124,139,167
125,141,168
126,159,170
127,141,171
128,146,172
129,148,175
130,153,177
131,154,180
132,158,182
133,160,185
134,166,187
135,167,190
136,172,193
137,174,195
138,177,198
139,179,200
140,184,202
141,186,205
142,190,208
143,194,210
144,197,213
145,199,215
146,203,217
147,206,220
148,210,223
149,212,225
150,215,228
151,218,230
152,223,232
153,225,235
154,229,237
155,233,240
156,236,242
157,238,244
158,242,247
159,245,249
160,248,252
161,251,253
162,257,256
163,258,258
164,261,260
165,262,262
166,266,264
167,267,266
168,270,268
169,272,270
170,274,272
171,276,273
172,280,275
173,281,276
174,279,278
175,281,280
176,281,281
177,286,282
178,283,283
179,287,285
180,285,286
181,286,286
182,285,288
183,288,289
184,288,290
185,288,291
186,289,292
187,289,293
188,292,294
189,290,295
190,292,296
191,293,297
192,292,298
193,294,299
194,295,300
195,294,301
196,293,303
197,295,303
198,296,304
199,298,305
200,298,307
201,298,308
202,299,309
203,300,310
204,298,311
205,300,312
206,302,314
207,303,315
208,301,316
209,302,317
210,303,319
211,303,320
212,303,321
213,305,322
214,305,323
215,305,324
216,305,326
217,307,327
218,307,328
219,308,329
220,308,331
221,312,332
222,310,333
223,312,334
224,312,336
225,312,336
226,313,337
227,314,339
228,314,340
229,316,341
230,315,342
231,318,344
232,318,345
233,318,346
234,320,348
235,320,349
236,321,350
237,322,352
238,322,353
239,324,354
240,324,356
241,361,357
242,326,359
243,327,360
244,362,361
245,364,363
246,329,364
247,329,365
248,366,367
249,332,368
250,333,370
251,333,371
252,334,372
253,335,374
254,336,375
255,373,377
256,341,378
257,344,382
258,348,384
259,350,387
260,354,390
261,357,393
262,360,395
263,364,398
264,367,401
265,370,404
266,374,407
267,401,409
268,379,412
269,382,415
270,386,418
271,388,420
272,393,423
273,395,426
274,400,428
275,403,431
276,406,434
277,409,437
278,414,439
279,415,442
280,421,445
281,423,448
282,427,450
283,429,453
284,434,456
285,436,458
286,478,461
287,444,464
288,449,466
289,450,469
290,455,472
291,458,475
292,463,477
293,466,480
294,476,483
295,473,485
296,512,489
297,480,491
298,484,494
299,487,497
300,491,499
301,494,502
302,498,504
303,501,507
304,506,510
305,508,513
306,513,515
307,515,518
308,521,520
309,522,524
310,527,526
311,530,529
312,534,532
313,538,534
314,541,537
315,544,540
316,549,542
317,552,545
318,557,548
319,558,550
320,563,554
321,566,555
322,571,558
323,572,561
