n,Loser 8ary (O1),Loser 8ary (O2),Loser 8ary (O3),Loser 8ary (Os),Loser 8ary (Oz)
3,15,15,15,15,29
4,20,20,20,20,40
5,26,26,26,25,50
6,31,31,31,31,60
7,37,37,37,37,70
8,43,43,43,43,80
9,69,69,69,69,151
10,78,77,78,78,169
11,87,86,86,87,186
12,95,95,95,95,203
13,104,103,103,104,221
14,112,112,112,113,238
15,121,121,121,121,256
16,130,129,129,130,273
17,138,138,138,138,290
18,147,147,147,147,308
19,156,156,156,156,325
20,165,165,164,165,342
21,174,173,173,173,360
22,182,182,182,182,377
23,192,191,191,192,395
24,200,200,200,200,413
25,210,209,209,209,431
26,219,218,218,218,448
27,228,228,228,227,466
28,238,237,237,237,485
29,247,247,247,247,502
30,256,257,257,256,520
31,266,266,266,265,538
32,275,275,275,275,556
33,284,284,285,284,574
34,294,294,294,293,592
35,304,304,304,303,610
36,314,313,314,313,628
37,323,323,324,323,646
38,333,334,334,333,664
39,343,343,343,342,683
40,353,353,353,352,701
41,363,363,363,362,720
42,373,373,374,372,739
43,383,384,384,382,757
44,394,394,398,393,776
45,405,405,405,403,795
46,415,415,416,414,814
47,426,426,426,425,833
48,437,437,437,435,853
49,448,448,449,446,872
50,458,459,459,457,891
51,470,470,471,469,911
52,481,482,482,479,930
53,492,493,498,491,951
54,504,504,505,502,970
55,515,516,516,513,990
56,527,527,528,524,1010
57,539,544,539,536,1030
58,550,551,551,549,1048
59,567,563,563,560,1069
60,574,574,579,572,1089
61,586,587,587,584,1109
62,598,599,598,596,1129
63,610,610,610,607,1149
64,622,623,623,625,1171
65,779,774,782,776,1618
66,793,788,797,791,1645
67,807,803,811,805,1673
68,820,817,828,819,1698
69,834,829,837,832,1726
70,847,843,851,845,1751
71,860,857,864,858,1778
72,873,868,876,871,1803
73,885,881,889,889,1830
74,898,894,905,897,1855
75,910,907,914,909,1882
76,923,918,927,921,1906
77,935,931,939,934,1934
78,949,944,952,947,1958
79,961,957,966,960,1986
80,974,969,978,973,2012
81,988,984,992,987,2039
82,1003,997,1007,1000,2067
83,1017,1012,1020,1016,2094
84,1033,1028,1035,1030,2123
85,1047,1043,1051,1046,2151
86,1064,1058,1068,1062,2180
87,1080,1076,1083,1078,2209
88,1096,1091,1100,1094,2238
89,1113,1113,1116,1111,2266
90,1129,1124,1133,1127,2295
91,1143,1140,1149,1143,2324
92,1160,1161,1164,1158,2352
93,1176,1171,1178,1174,2380
94,1191,1186,1194,1189,2408
95,1205,1201,1209,1205,2436
96,1219,1220,1224,1219,2464
97,1235,1230,1238,1235,2491
98,1250,1247,1255,1248,2517
99,1265,1260,1268,1262,2545
100,1279,1274,1283,1277,2572
