n,Tournament 4ary (O1),Tournament 4ary (O2),Tournament 4ary (O3),Tournament 4ary (Os),Tournament 4ary (Oz)
3,14,15,15,14,31
4,19,20,20,19,42
5,35,34,34,36,85
6,43,41,40,43,103
7,50,48,47,51,121
8,58,55,54,59,138
9,65,62,61,66,156
10,73,69,68,74,173
11,81,76,75,82,191
12,89,83,82,90,209
13,97,90,89,98,227
14,105,97,96,106,244
15,113,104,103,113,262
16,120,112,110,121,280
17,166,149,149,195,407
18,175,157,157,207,431
19,185,166,166,219,455
20,195,175,175,230,480
21,205,184,184,243,504
22,215,193,193,254,529
23,225,202,201,266,554
24,236,211,211,278,578
25,246,220,220,289,603
26,256,230,229,302,628
27,267,239,238,314,653
28,277,248,247,325,678
29,288,258,257,338,703
30,299,267,266,350,729
31,309,277,276,362,753
32,319,286,285,375,778
33,330,296,294,387,803
34,341,305,304,398,828
35,351,314,313,411,854
36,363,324,323,423,879
37,373,334,333,437,904
38,384,344,344,448,930
39,395,354,353,461,955
40,407,364,363,473,980
41,418,374,373,486,1006
42,429,388,383,500,1032
43,440,395,393,512,1057
44,452,405,404,525,1083
45,464,415,415,540,1109
46,476,426,425,553,1135
47,486,437,436,565,1162
48,499,447,446,580,1188
49,511,459,458,594,1214
50,523,470,468,607,1240
51,536,481,479,621,1267
52,548,492,491,636,1294
53,561,504,502,648,1320
54,573,515,514,662,1347
55,586,526,525,679,1374
56,599,538,536,691,1400
57,611,550,548,705,1427
58,624,561,559,719,1455
59,637,573,571,733,1480
60,650,584,583,748,1508
61,663,597,595,763,1535
62,677,608,607,777,1561
63,691,620,619,793,1588
64,703,633,631,808,1616
65,891,798,806,1110,2074
66,906,814,819,1128,2107
67,922,827,833,1147,2141
68,937,841,847,1165,2175
69,952,855,861,1184,2209
70,967,868,875,1201,2243
71,989,881,889,1221,2275
72,996,894,902,1238,2309
73,1010,907,914,1255,2342
74,1024,920,926,1273,2377
75,1038,932,940,1288,2407
76,1052,947,952,1308,2441
77,1067,959,966,1325,2474
78,1081,971,979,1343,2508
79,1096,984,992,1361,2542
80,1111,997,1006,1380,2576
81,1127,1014,1019,1398,2609
82,1142,1026,1035,1417,2645
83,1157,1040,1048,1436,2679
84,1175,1055,1064,1456,2715
85,1191,1070,1078,1476,2750
86,1209,1084,1094,1495,2784
87,1226,1102,1110,1517,2820
88,1244,1118,1127,1538,2856
89,1263,1133,1142,1560,2892
90,1280,1151,1160,1580,2929
91,1297,1167,1176,1600,2964
92,1315,1182,1191,1620,2999
93,1331,1198,1207,1641,3034
94,1348,1213,1223,1660,3069
95,1364,1228,1238,1681,3105
96,1381,1243,1253,1699,3139
97,1397,1257,1268,1718,3173
98,1413,1273,1283,1738,3208
99,1429,1288,1299,1757,3242
100,1445,1302,1312,1776,3277
