n,Tournament Cache Branchless,Tournament 4ary,Tournament 8ary,Loser 4ary,Loser 8ary
3,20,15,16,13,15
4,23,20,22,17,20
5,39,33,27,32,26
6,46,40,33,39,31
7,50,47,39,46,37
8,55,54,46,53,43
9,71,61,75,60,69
10,88,68,83,67,78
11,102,75,92,75,86
12,107,82,100,82,95
13,113,89,109,90,103
14,119,96,117,97,112
15,123,103,126,105,121
16,127,110,134,112,129
17,150,148,143,153,138
18,167,157,152,163,150
19,184,166,160,172,156
20,203,175,169,181,165
21,220,184,177,191,174
22,232,193,186,201,183
23,240,202,195,210,192
24,246,210,209,219,200
25,254,220,212,227,210
26,263,229,222,238,219
27,272,238,230,247,228
28,280,247,240,256,237
29,287,257,249,267,247
30,294,266,258,277,256
31,300,276,267,286,265
32,308,285,276,296,275
33,331,294,286,305,284
34,352,304,295,316,293
35,371,314,304,325,303
36,389,323,313,336,313
37,406,333,323,346,323
38,423,343,333,357,333
39,442,353,342,367,343
40,460,363,352,377,353
41,479,372,361,386,362
42,497,383,372,399,373
43,512,393,381,408,383
44,525,403,395,419,394
45,537,413,402,430,405
46,546,424,415,440,415
47,556,435,423,453,426
48,564,445,433,463,437
49,574,456,444,474,447
50,584,467,455,485,459
51,594,479,465,499,469
52,605,490,477,509,481
53,615,502,487,520,493
54,625,512,499,531,505
55,636,523,510,545,516
56,647,535,521,556,528
57,658,551,533,567,539
58,669,558,544,580,551
59,680,570,557,591,563
60,693,583,567,605,575
61,704,594,582,616,587
62,717,606,591,628,598
63,728,618,602,640,611
64,740,630,618,651,623
65,762,803,927,846,773
66,785,818,943,862,788
67,807,833,959,876,803
68,829,846,978,890,815
69,850,860,991,904,829
70,871,873,1022,920,842
71,894,887,1037,933,856
72,914,901,1037,946,868
73,934,913,1052,959,883
74,955,926,1067,973,893
75,976,938,1092,988,906
76,996,952,1096,1002,918
77,1018,965,1112,1014,931
78,1039,977,1128,1028,943
79,1061,991,1142,1042,957
80,1082,1005,1159,1055,970
81,1105,1018,1174,1070,983
82,1126,1033,1191,1084,998
83,1148,1048,1208,1101,1013
84,1169,1064,1225,1117,1027
85,1187,1080,1243,1133,1043
86,1208,1094,1261,1147,1058
87,1227,1110,1281,1166,1075
88,1244,1126,1298,1181,1091
89,1259,1145,1316,1202,1106
90,1275,1160,1334,1218,1124
91,1289,1176,1353,1233,1139
92,1304,1192,1371,1250,1155
93,1316,1208,1388,1266,1170
94,1330,1223,1407,1282,1186
95,1343,1238,1423,1297,1200
96,1354,1253,1456,1312,1217
97,1365,1268,1456,1326,1230
98,1376,1282,1473,1343,1244
99,1388,1299,1491,1358,1258
100,1400,1313,1508,1374,1275
