n,Tournament Cache Branchless,Tournament 4ary,Loser 8ary
3,2,1,1
4,2,2,2
5,3,3,2
6,4,4,3
7,5,4,3
8,5,5,4
9,7,6,7
10,9,6,8
11,10,7,8
12,11,8,9
13,11,8,10
14,12,9,11
15,12,10,12
16,13,11,13
17,15,14,14
18,17,15,15
19,18,16,15
20,20,17,16
21,22,18,17
22,23,19,18
23,24,20,19
24,24,20,20
25,25,22,21
26,26,22,22
27,27,23,23
28,28,24,24
29,29,25,25
30,29,26,25
31,30,27,26
32,31,28,27
33,33,29,28
34,35,30,29
35,37,31,30
36,38,31,31
37,40,32,32
38,42,33,33
39,44,34,34
40,45,35,35
41,47,36,36
42,49,37,37
43,50,38,38
44,52,39,39
45,53,40,40
46,54,42,41
47,55,42,42
48,56,44,43
49,56,44,44
50,57,45,45
51,58,46,46
52,59,47,47
53,60,49,48
54,61,50,50
55,63,51,51
56,64,52,52
57,65,53,53
58,66,54,54
59,67,55,55
60,68,56,56
61,69,57,57
62,70,59,58
63,71,59,60
64,73,61,61
65,75,78,76
66,77,79,77
67,79,81,78
68,81,82,80
69,83,84,81
70,85,85,82
71,88,86,84
72,90,88,85
73,92,89,87
74,94,91,88
75,96,92,89
76,98,93,91
77,100,95,92
78,102,96,93
79,105,97,95
80,107,99,96
81,110,100,98
82,111,102,99
83,114,104,100
84,116,105,102
85,118,106,103
86,120,109,105
87,121,109,106
88,123,111,109
89,125,113,110
90,127,114,112
91,128,117,114
92,129,118,115
93,131,119,117
94,132,121,119
95,134,122,120
96,134,124,122
97,136,126,123
98,137,127,124
99,138,129,126
100,140,130,127
101,140,131,128
102,142,133,130
103,143,134,132
104,144,136,133
105,145,137,134
106,146,139,136
107,147,140,137
108,148,141,139
109,150,143,140
110,151,144,141
111,152,145,143
112,153,147,145
113,154,149,146
114,155,150,147
115,156,151,148
116,157,153,150
117,159,154,151
118,159,156,152
119,161,157,154
120,162,158,155
121,164,160,157
122,165,161,158
123,166,162,159
124,167,164,161
125,168,165,162
126,169,166,164
127,171,168,165
128,172,169,166
129,174,171,168
130,176,172,169
131,179,173,171
132,181,174,172
133,183,176,173
134,185,178,174
135,187,178,176
136,190,180,177
137,192,182,179
138,194,183,180
139,197,184,181
140,199,186,183
141,202,187,184
142,204,189,185
143,206,190,187
144,209,191,188
145,211,192,190
146,214,194,191
147,216,195,192
148,219,196,194
149,221,198,195
150,224,199,197
151,226,201,198
152,229,202,200
153,231,203,201
154,234,204,203
155,236,206,203
156,238,207,205
157,241,209,206
158,244,210,208
159,246,212,210
160,247,213,211
161,249,214,212
162,252,215,213
163,254,217,215
164,256,218,216
165,259,220,218
166,260,221,219
167,263,222,220
168,264,223,222
169,266,225,223
170,268,226,224
171,270,228,226
172,272,229,228
173,273,230,229
174,275,232,230
175,276,233,232
176,278,234,233
177,279,236,235
178,281,237,236
179,282,239,237
180,283,240,238
181,284,242,240
182,285,242,242
183,287,244,242
184,288,245,244
185,289,247,246
186,290,248,247
187,291,249,249
188,292,251,249
