n,Find SIMD (O1),Find SIMD (O2),Find SIMD (O3),Find SIMD (Os),Find SIMD (Oz)
3,33,33,30,32,32
4,44,45,41,43,44
5,56,57,52,55,55
6,68,69,63,66,67
7,81,82,75,78,78
8,92,92,84,89,91
9,108,113,112,108,109
10,120,124,123,118,118
11,131,137,136,131,131
12,145,150,149,143,143
13,156,163,165,156,156
14,169,177,176,169,169
15,182,191,189,182,182
16,195,204,203,195,196
17,218,227,224,219,218
18,233,241,238,232,233
19,243,254,251,242,244
20,256,264,261,255,257
21,269,278,275,269,270
22,283,292,288,282,283
23,296,306,302,295,296
24,309,319,315,308,309
25,338,348,346,333,331
26,352,362,360,347,345
27,366,376,374,360,358
28,380,390,388,374,372
29,394,408,402,388,386
30,408,418,418,402,400
31,422,433,432,416,414
32,437,447,446,430,428
33,463,479,472,463,467
34,477,493,486,478,482
35,491,508,501,488,496
36,505,523,515,502,510
37,519,538,530,517,524
38,535,553,545,532,539
39,549,568,560,546,554
40,564,583,575,561,568
41,603,624,617,596,605
42,620,640,644,611,625
43,634,656,648,626,635
44,649,671,664,641,651
45,664,687,679,656,666
46,680,703,694,671,681
47,695,718,711,687,697
48,711,735,726,702,713
49,751,789,775,740,757
50,767,806,791,755,773
51,783,822,807,771,790
52,800,839,823,787,806
53,817,857,840,804,822
54,834,874,858,820,839
55,850,892,875,836,855
56,867,909,892,853,873
57,906,984,974,928,916
58,923,1003,992,945,933
59,940,1021,1010,962,949
60,957,1039,1028,980,967
61,975,1059,1046,997,983
62,990,1076,1064,1015,1000
63,1008,1093,1080,1032,1016
64,1024,1111,1098,1051,1032
65,1101,1198,1228,1078,1106
66,1118,1219,1247,1095,1123
67,1136,1238,1267,1111,1141
68,1153,1256,1285,1129,1157
69,1171,1274,1304,1147,1175
70,1188,1293,1323,1164,1190
71,1204,1311,1342,1180,1206
72,1221,1329,1359,1197,1222
73,1312,1369,1424,1304,1311
74,1329,1387,1438,1320,1328
75,1345,1404,1452,1337,1343
76,1362,1421,1467,1354,1359
77,1378,1439,1484,1370,1377
78,1396,1456,1502,1387,1393
79,1413,1474,1520,1405,1411
80,1431,1492,1538,1422,1428
81,1491,1550,1589,1480,1487
82,1511,1570,1607,1498,1506
83,1529,1588,1641,1518,1526
84,1548,1608,1644,1536,1543
85,1568,1629,1664,1557,1564
86,1588,1650,1684,1576,1583
87,1610,1671,1704,1596,1605
88,1630,1691,1722,1616,1624
89,1667,1747,1784,1664,1677
90,1689,1768,1804,1685,1698
91,1708,1789,1826,1704,1718
92,1729,1810,1846,1723,1739
93,1749,1831,1868,1745,1758
94,1768,1851,1888,1763,1777
95,1786,1869,1908,1782,1796
96,1805,1889,1928,1800,1815
97,1841,1944,1993,1850,1862
98,1861,1964,2015,1869,1882
99,1879,1984,2033,1889,1900
100,1898,2004,2054,1908,1920
