n,Heap Branchless Parallel,Heap Branchless Parallel Early Terminate
3,12,15
4,27,32
5,34,38
6,39,44
7,45,49
8,64,73
9,74,84
10,80,95
11,87,102
12,89,111
13,95,118
14,97,127
15,104,134
16,131,159
17,146,173
18,172,198
19,187,209
20,185,222
21,188,230
22,183,236
23,189,243
24,184,255
25,190,263
26,190,276
27,196,285
28,193,299
29,199,308
30,199,321
31,206,330
32,243,353
33,262,365
34,290,382
35,307,392
36,340,413
37,357,426
38,387,451
39,405,464
40,436,484
41,451,492
42,463,506
43,473,514
44,472,522
45,480,528
46,479,537
47,488,544
48,483,553
49,490,561
50,489,571
51,499,579
52,496,589
53,505,597
54,505,608
55,515,616
56,511,627
57,520,635
58,521,647
59,531,655
60,531,667
61,541,674
62,543,685
63,554,693
64,596,731
65,620,750
66,658,781
67,680,798
68,725,834
69,747,848
70,784,882
71,804,902
72,842,934
73,864,951
74,896,986
75,914,1005
76,954,1040
77,975,1057
78,1004,1089
79,1022,1104
80,1070,1134
81,1083,1148
82,1107,1173
83,1124,1187
84,1141,1208
85,1154,1219
86,1162,1241
87,1304,1250
88,1173,1266
89,1190,1280
90,1186,1289
91,1200,1299
92,1197,1311
93,1207,1329
94,1212,1330
95,1224,1339
96,1223,1354
97,1234,1359
98,1238,1371
99,1249,1381
100,1251,1391
