n,Heap Branchless Parallel,Heap 3ary Branchless Parallel,Heap 4ary Branchless Parallel
3,1,1,1
4,2,1,1
5,3,3,2
6,3,4,4
7,4,4,5
8,6,5,6
9,7,5,7
10,8,6,7
11,9,6,8
12,9,7,8
13,9,8,9
14,9,10,10
15,10,12,10
16,13,13,11
17,14,16,12
18,17,17,12
19,18,19,13
20,18,18,14
21,19,18,14
22,19,19,17
23,19,18,19
24,19,19,20
25,19,20,22
26,19,20,24
27,19,20,26
28,19,21,27
29,20,21,29
30,19,22,31
31,20,23,32
32,24,23,33
33,26,24,34
34,29,24,35
35,30,24,35
36,34,25,36
37,36,26,37
38,39,26,37
39,41,27,38
40,44,28,38
41,46,31,39
42,47,33,39
43,48,35,40
44,48,38,41
45,49,39,42
46,48,41,42
47,49,44,43
48,48,46,44
49,49,48,45
50,49,51,45
51,51,53,46
52,49,55,47
53,50,58,48
54,50,60,48
55,51,61,49
56,51,64,50
57,52,65,51
58,51,67,51
59,52,69,52
60,51,71,53
61,52,72,54
62,53,73,55
63,53,74,56
64,60,76,56
65,63,76,57
66,67,77,58
67,69,78,59
68,73,78,59
69,77,79,60
70,77,80,61
71,79,80,61
72,83,81,63
73,85,82,64
74,91,83,64
75,90,84,65
76,94,85,65
77,96,85,66
78,99,86,67
79,102,87,68
80,106,87,69
81,108,89,70
82,111,90,70
83,113,90,72
84,115,92,74
85,117,93,73
86,118,94,76
87,119,95,79
88,120,96,81
89,121,97,83
90,121,97,86
91,123,99,88
92,122,101,90
93,122,102,92
94,123,104,94
95,124,103,97
96,123,105,98
97,125,105,101
98,125,106,103
99,126,107,105
100,126,108,107
101,127,109,108
102,128,111,111
103,129,111,114
104,129,111,116
105,129,112,117
106,130,114,120
107,131,114,122
108,131,115,124
109,132,115,126
110,133,116,129
111,133,118,131
112,132,119,133
113,134,118,135
114,133,119,138
115,134,120,139
116,134,134,142
117,136,121,144
118,135,123,148
119,137,123,164
120,137,124,152
121,138,125,155
122,137,129,157
123,139,131,160
124,139,134,163
125,139,136,164
126,140,138,168
127,141,141,169
128,145,144,171
129,147,147,172
130,151,148,176
131,157,152,179
132,157,153,182
133,160,155,182
134,162,158,185
135,165,160,187
136,168,162,189
137,171,165,191
138,177,166,193
139,176,169,195
140,181,171,197
141,183,173,198
142,186,175,200
143,188,178,201
144,194,181,203
145,195,181,203
146,198,184,205
147,201,188,207
148,205,188,207
149,207,192,209
150,211,194,211
151,214,197,212
152,216,199,213
153,220,202,215
154,223,203,215
155,225,207,217
156,230,207,218
157,232,211,219
158,236,214,219
159,238,216,221
160,243,220,222
161,247,223,223
162,251,225,224
163,253,226,225
164,256,231,226
165,258,233,228
166,261,234,227
167,264,240,229
168,266,240,231
169,268,243,232
170,270,246,232
171,272,249,233
172,275,251,234
173,275,255,236
174,278,257,236
175,278,257,237
176,283,263,238
177,281,264,239
178,282,265,240
179,285,268,242
180,283,270,243
181,285,274,244
182,285,276,244
183,285,277,245
184,288,279,247
185,287,282,248
186,288,283,248
187,289,285,249
188,287,286,251
189,291,288,252
190,290,291,252
191,293,292,254
192,290,293,255
193,291,294,256
194,292,296,256
195,292,298,257
196,293,300,259
197,294,300,279
198,294,302,260
199,295,304,261
200,294,304,262
201,296,306,264
202,298,307,264
203,298,308,266
204,298,311,267
205,301,315,269
206,299,311,268
207,300,313,270
208,305,315,271
209,301,316,272
210,301,316,273
211,303,318,294
212,302,319,275
213,304,320,293
214,304,322,276
215,305,322,277
216,305,324,279
217,308,324,279
218,307,325,280
219,309,328,281
220,308,328,282
221,310,350,284
222,312,330,284
223,315,331,285
224,315,332,287
225,314,334,308
226,312,361,289
227,314,335,289
228,314,337,291
229,349,338,292
230,315,339,292
231,317,339,294
232,352,368,295
233,319,342,295
234,318,343,317
235,354,345,297
236,320,345,299
237,321,346,300
238,323,349,300
239,324,375,301
240,323,349,302
241,324,350,303
242,325,351,325
243,327,353,326
244,327,354,308
245,327,355,329
246,328,384,330
247,330,358,309
248,330,358,311
249,332,360,312
250,331,361,312
251,333,361,314
252,333,363,314
253,334,364,315
254,335,365,317
255,336,367,317
256,376,367,319
257,343,369,319
258,346,369,322
259,348,371,322
260,357,371,323
261,355,372,324
262,359,375,324
263,360,375,325
264,366,376,327
265,369,378,328
266,371,407,328
267,372,379,329
268,377,381,332
269,379,381,332
