n,Bubble,Bubble Branchless,Bubble Branchless Cache,Bubble Branchless Pair
3,243,91,87,123
4,370,129,132,199
5,421,238,206,283
6,578,379,278,379
7,729,489,384,492
8,908,595,490,615
9,1049,650,638,751
10,1270,878,765,904
11,1480,1045,937,1067
12,1728,1247,1097,1251
13,1893,1209,1303,1439
14,2174,1533,1488,1658
15,2456,1714,1719,1894
16,2735,1920,1937,2154
17,2936,1786,2207,2448
18,3242,2167,2451,2723
19,3566,2419,2749,3001
20,3906,2655,3039,3300
21,4135,2721,3361,3652
22,4535,3168,3668,3974
23,4902,3541,4027,4355
24,5284,3851,4369,4712
25,5567,4334,4769,5133
26,5998,4650,5133,5528
27,6438,5342,5565,5927
28,6833,5809,5958,6358
29,7217,5988,6431,6833
30,7675,6546,6847,7270
