n,Find,Find Cache,Find Pair,Find Branchless Cache,Find SIMD
3,228,227,229,136,300
4,375,364,368,186,402
5,613,508,455,254,504
6,874,670,611,325,611
7,1070,854,786,409,713
8,1340,1050,975,756,821
9,2128,1301,1443,925,1076
10,2509,1535,1673,1113,1196
11,2843,1750,1938,1275,1324
12,3208,1973,2205,1468,1449
13,4505,2229,3017,1659,1576
14,4982,2494,3329,1847,1700
15,5445,2772,3647,2026,1830
16,5914,3062,4003,2484,1953
17,7756,4576,5157,2790,2131
18,8354,4933,5544,3088,2252
19,8935,5371,5944,3422,2383
20,9527,5660,6359,3804,2514
21,11915,6066,7902,4099,2657
22,12645,6436,8362,4294,2786
23,13296,6892,8825,4355,2916
24,14001,7255,9340,5204,3056
25,16854,9903,11215,5653,3356
26,17728,10407,11761,6184,3501
27,18491,11009,12297,6433,3641
28,19242,11396,12886,6743,3783
29,22586,11978,15110,7011,3919
30,23576,12427,15718,7163,4059
