n,Baseline (copy+sort),Find Branchless Cache (Os),Find SIMD (Os),Insert Cache Pair (Os),Bubble Branchless (O3),Bubble Branchless Cache (O1),Heap 4ary Branchless Parallel (O3),Tournament 4ary (O3),Loser 8ary (O3)
3,699,140,320,189,91,84,108,151,153
4,1116,193,427,284,129,133,147,202,204
5,1201,258,536,388,238,200,195,344,257
6,1635,328,644,493,379,288,402,413,309
7,1706,421,754,604,489,395,514,482,361
8,2157,521,865,717,595,515,605,551,415
9,2228,615,1020,845,650,656,682,621,711
10,2683,741,1128,982,878,808,723,690,791
11,2708,869,1242,1131,1044,982,786,760,870
12,3169,993,1359,1273,1213,1160,852,829,949
13,3215,1131,1474,1443,1159,1361,919,899,1028
14,3720,1273,1594,1608,1467,1566,990,969,1108
15,3726,1429,1713,1772,1683,1803,1053,1038,1188
16,4248,1596,1831,1932,1888,2041,1120,1108,1268
17,4243,1760,2033,2092,1777,2313,1187,1494,1348
18,4790,1959,2156,2256,2160,2585,1276,1582,1428
19,4743,2139,2278,2429,2414,2888,1349,1671,1509
20,5335,2343,2402,2605,2647,3194,1421,1760,1590
21,5243,2567,2526,2794,2677,3538,1493,1851,1674
22,5865,2761,2655,2973,3140,3868,1751,1939,1754
23,5773,3015,2781,3169,3459,4239,1907,2030,1837
24,6334,3227,2916,3383,3760,4613,2064,2121,1923
25,6300,3507,3161,3581,4212,5021,2220,2213,2008
26,6862,3738,3296,3810,4470,5417,2461,2307,2095
27,6792,4045,3428,3998,5117,5861,2616,2402,2184
28,7452,4296,3568,4221,5446,6313,2770,2500,2274
29,7334,4629,3707,4456,5638,6774,2919,2597,2370
30,8026,4885,3846,4690,6198,7239,3091,2688,2453
