n,Baseline (copy+sort),Find SIMD (Os),Insert Cache Pair (Os),Heap Branchless Parallel (O3),Heap 4ary Branchless Parallel (O3),Tournament Cache Branchless (O3),Tournament 4ary (O3),Loser 8ary (O3)
3,67,32,18,12,10,20,15,15
4,107,43,28,28,14,23,20,20
5,115,54,39,34,19,41,33,26
6,154,66,50,39,41,47,40,31
7,163,77,61,45,53,50,47,37
8,201,89,73,67,63,55,54,43
9,211,106,86,79,71,73,61,69
10,253,118,98,84,75,92,68,77
11,261,130,111,90,82,106,75,85
12,304,143,125,90,88,109,82,94
13,308,158,141,96,95,113,89,103
14,355,168,156,97,100,118,96,111
15,358,181,171,104,107,123,103,120
16,407,194,187,136,113,128,110,129
17,407,215,202,153,120,151,148,138
18,459,228,218,179,128,171,157,147
19,457,240,233,190,135,191,166,155
20,514,253,249,192,142,210,175,163
21,507,267,266,198,149,227,184,172
22,563,280,284,194,175,239,193,181
23,553,293,301,200,191,246,201,190
24,611,306,320,192,206,252,210,199
25,606,332,339,198,223,257,220,209
26,664,345,359,195,247,263,229,218
27,654,359,378,201,263,268,238,227
28,713,373,399,195,277,275,247,236
29,703,387,420,202,295,283,257,246
30,767,401,442,199,314,291,266,256
31,757,415,468,206,327,299,276,265
32,809,429,490,248,338,308,285,274
33,807,459,511,268,348,329,294,284
34,870,473,533,301,351,349,303,294
35,854,487,556,319,361,371,313,303
36,943,502,579,358,370,391,323,313
37,910,516,604,378,378,412,333,323
38,970,531,628,413,377,432,342,333
39,954,545,653,431,386,453,352,343
40,1040,560,678,464,393,474,362,353
41,1003,595,704,478,402,495,372,362
42,1071,610,732,488,404,514,382,373
43,1058,625,759,495,412,529,392,383
44,1119,640,787,493,421,542,402,394
45,1111,655,815,498,430,550,413,404
46,1182,671,844,496,432,558,423,414
47,1156,686,873,504,442,566,434,425
48,1234,702,903,497,452,573,444,436
49,1207,739,935,505,461,581,456,452
50,1288,755,966,504,465,590,466,459
51,1258,771,998,514,475,600,479,470
52,1342,787,1031,511,484,610,490,482
53,1313,803,1064,520,494,619,503,492
54,1377,819,1097,520,497,629,511,503
55,1368,836,1131,531,506,639,523,516
56,1432,852,1166,523,516,650,534,527
57,1409,927,1201,532,526,660,546,538
58,1495,944,1237,529,529,670,558,550
59,1465,961,1272,539,539,681,569,561
60,1552,978,1309,533,550,693,581,574
61,1513,997,1346,543,560,705,593,586
62,1600,1014,1384,543,565,716,605,598
63,1567,1031,1422,554,575,728,617,610
64,1653,1049,1461,634,585,741,628,622
65,1612,1076,1499,658,597,764,805,773
66,1712,1095,1539,698,601,788,818,788
67,1671,1112,1579,719,612,813,833,802
68,1759,1128,1619,761,621,837,847,815
69,1716,1147,1659,777,632,861,861,833
70,1807,1163,1700,809,633,884,875,843
71,1773,1179,1739,828,641,908,888,855
72,1876,1197,1781,867,650,931,900,867
73,1817,1303,1822,889,659,954,914,880
74,1917,1320,1864,924,672,977,926,893
75,1885,1337,1909,944,672,999,940,905
76,1974,1353,1952,987,677,1022,952,918
77,1929,1370,1993,1009,686,1045,965,931
78,2042,1388,2036,1047,688,1067,980,945
79,1976,1405,2081,1069,697,1091,992,958
80,2072,1422,2126,1111,707,1113,1005,969
81,2025,1480,2171,1141,716,1136,1020,984
82,2131,1499,2218,1162,721,1158,1033,997
83,2075,1518,2264,1179,731,1178,1050,1012
84,2180,1537,2315,1198,741,1199,1066,1027
85,2130,1555,2363,1209,754,1218,1081,1044
86,2228,1574,2413,1218,788,1236,1096,1060
87,2195,1597,2462,1229,808,1253,1112,1075
88,2291,1617,2513,1226,829,1269,1128,1093
89,2232,1667,2565,1234,852,1282,1145,1110
90,2373,1688,2616,1232,881,1295,1161,1125
91,2285,1707,2665,1244,901,1309,1178,1140
92,2413,1727,2718,1240,922,1321,1197,1157
93,2339,1746,2771,1261,942,1330,1210,1174
94,2440,1766,2830,1253,972,1342,1226,1186
95,2394,1785,2882,1266,989,1355,1241,1207
96,2491,1803,2935,1265,1007,1367,1258,1216
97,2434,1853,2988,1273,1031,1376,1271,1232
98,2550,1872,3041,1275,1054,1389,1286,1248
99,2490,1891,3096,1287,1073,1399,1302,1262
100,2603,1909,3150,1286,1094,1410,1315,1276
