n,Baseline (copy+sort),Find SIMD (Os),Insert Cache Pair (Os),Heap 4ary Branchless Parallel (O3),Tournament 4ary (O3),Loser 8ary (O3)
3,69,32,18,10,15,15
4,111,43,28,14,20,20
5,118,55,38,19,33,26
6,157,66,49,41,40,32
7,169,78,60,54,47,37
8,209,90,72,63,54,44
9,219,107,85,71,61,70
10,261,119,97,75,68,78
11,270,131,111,81,75,87
12,312,144,125,88,82,95
13,319,157,141,95,89,104
14,364,170,156,100,97,113
15,369,182,170,107,103,121
16,415,195,186,113,110,130
17,422,215,201,120,148,138
18,470,229,216,128,157,147
19,472,242,231,135,166,156
20,522,255,247,142,175,165
21,524,268,264,150,184,173
22,578,281,281,175,192,182
23,575,294,300,191,201,191
24,626,308,319,207,210,200
25,624,332,338,223,220,210
26,685,346,357,248,229,219
27,679,360,378,264,238,228
28,735,374,397,279,247,237
29,727,388,420,295,257,247
30,788,402,440,315,266,256
31,785,416,468,327,276,266
32,847,429,490,339,285,275
33,843,459,512,350,294,284
34,896,473,535,355,304,294
35,885,487,559,363,313,303
36,952,502,582,371,323,313
37,943,516,606,382,333,323
38,1004,530,631,380,343,332
39,994,545,656,388,353,342
40,1063,559,681,396,362,352
41,1042,594,708,404,372,362
42,1112,609,734,405,383,372
43,1094,624,762,415,393,383
44,1183,639,789,424,403,393
45,1148,655,818,433,414,404
46,1215,670,846,435,425,414
47,1196,686,876,445,435,430
48,1274,702,906,454,446,436
49,1266,734,937,464,456,447
50,1339,750,968,468,468,458
51,1304,766,1001,477,479,469
52,1385,782,1034,487,490,481
53,1364,799,1067,497,502,492
54,1437,815,1099,500,513,504
55,1414,832,1133,509,524,515
56,1490,848,1169,518,535,528
57,1474,929,1204,529,547,539
58,1544,946,1240,533,558,556
59,1527,964,1276,543,571,563
60,1605,983,1313,553,582,574
61,1573,999,1349,564,599,586
62,1676,1017,1387,568,607,599
63,1625,1034,1426,578,618,616
64,1705,1051,1465,589,630,623
65,1678,1078,1504,599,803,774
66,1768,1095,1543,603,818,788
67,1732,1113,1583,618,833,802
68,1836,1131,1623,626,847,818
69,1788,1148,1663,634,863,830
70,1864,1165,1704,635,874,843
71,1838,1181,1746,643,889,856
72,1927,1199,1786,652,902,869
73,1900,1306,1828,660,915,882
74,1986,1322,1872,661,928,895
75,1944,1341,1914,670,940,906
76,2050,1356,1956,678,952,919
77,1996,1372,2000,687,965,932
78,2093,1389,2043,689,978,944
79,2057,1406,2087,698,993,957
80,2144,1424,2132,708,1006,970
81,2105,1481,2178,717,1022,984
82,2215,1500,2223,726,1033,998
83,2154,1518,2271,732,1049,1014
84,2249,1538,2319,743,1064,1027
85,2209,1558,2370,754,1081,1043
86,2319,1578,2419,793,1095,1059
87,2264,1598,2471,813,1113,1076
88,2366,1619,2520,836,1154,1098
89,2323,1667,2572,858,1145,1108
90,2418,1689,2624,891,1161,1126
91,2373,1709,2678,911,1178,1141
92,2485,1728,2725,933,1194,1156
93,2442,1747,2778,953,1211,1172
94,2549,1767,2836,981,1226,1188
95,2482,1786,2889,1000,1240,1201
96,2600,1804,2942,1021,1255,1218
97,2533,1854,2997,1038,1270,1231
98,2656,1873,3050,1066,1285,1247
99,2584,1892,3105,1086,1300,1261
100,2704,1910,3160,1107,1315,1277
