n,Baseline (copy+sort),Find Branchless Cache (Os),Find SIMD (Os),Insert Cache Pair (Os),Bubble Branchless Cache (O1),Heap Branchless Parallel (O3),Heap 4ary Branchless Parallel (O3),Tournament Cache Branchless (O3),Tournament 4ary (O3),Loser 8ary (O3)
3,734,140,320,186,85,123,108,206,151,153
4,1167,193,428,282,136,282,147,228,202,204
5,1247,257,537,380,203,347,193,410,338,256
6,1709,332,645,480,291,390,412,469,406,309
7,1778,422,755,586,396,455,532,492,475,361
8,2230,513,865,691,516,681,632,519,543,414
9,2299,615,1022,805,653,792,715,709,611,662
10,2755,739,1129,919,802,843,756,905,680,740
11,2800,870,1243,1039,969,907,821,1042,748,816
12,3323,994,1359,1166,1152,905,887,1066,817,892
13,3334,1129,1476,1316,1350,963,954,1093,886,969
14,3879,1283,1595,1458,1564,973,1006,1138,955,1049
15,3855,1430,1719,1602,1793,1043,1071,1161,1025,1131
16,4395,1594,1837,1753,2038,1366,1137,1183,1094,1209
17,4391,1767,2040,1904,2302,1537,1205,1431,1491,1290
18,4942,1996,2160,2059,2579,1789,1275,1645,1579,1369
19,4907,2175,2283,2214,2873,1903,1348,1849,1667,1451
20,5537,2351,2400,2373,3183,1930,1420,2054,1756,1531
21,5437,2567,2530,2544,3509,1986,1491,2229,1845,1616
22,6063,2774,2656,2715,3851,1933,1752,2353,1935,1699
23,5977,3017,2786,2895,4210,1996,1908,2432,2025,1787
24,6654,3259,2914,3079,4587,1915,2067,2479,2116,1873
25,6522,3500,3158,3269,4981,1973,2224,2522,2209,1963
26,7180,3759,3289,3465,5391,1948,2478,2565,2302,2055
27,7034,4021,3425,3666,5815,2017,2649,2612,2397,2146
28,7761,4308,3566,3870,6258,1965,2810,2664,2493,2240
29,7577,4592,3706,4084,6719,2031,2959,2713,2589,2334
30,8405,4868,3844,4300,7191,1999,3163,2771,2682,2427
