n,Tournament 4ary,Tournament 8ary
3,1,1
4,2,2
5,3,2
6,4,3
7,4,4
8,5,4
9,6,7
10,6,8
11,7,9
12,8,10
13,9,11
14,9,11
15,10,12
16,11,13
17,14,14
18,15,15
19,16,16
20,17,17
21,18,17
22,19,18
23,20,19
24,21,20
25,22,21
26,23,22
27,23,23
28,24,24
29,26,26
30,27,26
31,28,27
32,32,30
33,31,31
34,31,30
35,32,31
36,35,32
37,34,32
38,35,33
39,36,35
40,36,35
41,37,36
42,38,37
43,39,38
44,40,39
45,41,40
46,42,41
47,45,42
48,45,43
49,45,44
50,47,46
51,47,45
52,48,47
53,49,48
54,52,49
55,53,51
56,54,52
57,56,54
58,58,55
59,57,55
60,58,57
61,58,58
62,60,59
63,66,64
64,67,65
65,82,103
66,84,100
67,85,97
68,87,98
69,85,99
70,87,100
71,88,102
72,92,103
73,95,107
74,94,107
75,94,108
76,95,110
77,97,112
78,98,114
79,99,116
80,101,117
81,102,118
82,104,120
83,107,121
84,106,123
85,111,126
86,111,131
87,112,132
88,114,132
89,115,137
90,118,138
91,118,140
92,120,141
93,124,144
94,124,145
95,127,146
96,128,148
97,131,150
98,132,152
99,131,151
100,133,153
101,134,155
102,137,159
103,138,159
104,139,160
105,143,166
106,142,167
107,145,166
108,144,170
109,145,172
110,152,173
111,153,187
112,150,180
113,154,176
114,157,180
115,157,182
116,159,186
117,160,192
118,162,202
119,167,196
120,163,193
121,165,196
122,168,193
123,168,195
124,170,196
125,170,197
126,171,199
127,173,201
128,176,202
129,178,205
130,181,206
131,177,206
132,180,208
133,182,209
134,183,212
135,187,213
136,186,214
137,185,215
138,187,218
139,190,220
140,190,219
141,192,221
142,193,223
143,194,226
144,195,225
145,202,232
146,201,237
147,200,236
148,205,236
149,207,238
150,204,239
151,206,240
152,206,241
153,210,243
154,211,243
155,210,246
156,212,248
157,213,248
158,217,249
159,216,252
160,219,255
161,221,257
162,220,258
163,223,260
164,223,260
165,225,262
166,227,266
167,228,267
168,229,270
169,232,269
170,232,270
171,233,274
172,236,274
173,237,275
174,239,281
175,240,282
176,240,282
177,243,284
178,243,287
179,244,285
180,248,291
181,253,295
182,253,309
183,271,312
184,266,297
185,255,303
186,257,301
187,267,301
188,258,302
189,259,304
190,263,313
191,262,308
192,266,310
193,265,309
194,272,316
195,270,314
196,269,316
197,274,318
198,273,322
199,275,323
200,281,325
201,277,335
202,286,341
203,305,332
204,284,335
205,287,337
206,290,338
207,287,344
208,288,339
209,297,345
210,310,351
211,296,346
212,296,351
213,300,349
214,300,353
215,300,353
216,301,355
217,304,361
218,306,363
219,305,361
220,307,365
221,309,362
222,310,365
223,312,368
224,315,372
225,326,371
226,319,374
227,323,389
228,332,404
229,341,383
230,342,390
231,327,386
232,334,391
233,336,397
234,342,403
235,334,414
236,345,406
237,342,408
238,347,414
239,347,411
240,349,409
241,353,414
242,351,412
243,357,414
244,351,421
245,358,420
246,363,417
247,352,415
248,353,418
249,356,420
250,359,422
251,360,422
252,359,425
253,361,428
254,365,430
255,368,431
256,369,433
257,423,435
258,427,436
259,426,440
260,430,440
261,434,442
262,432,446
263,434,446
264,436,452
265,440,450
266,443,456
267,443,455
268,447,460
269,449,462
270,447,461
271,450,464
272,454,468
273,457,468
274,461,473
275,461,477
276,462,475
277,461,478
278,465,477
279,469,478
280,467,487
281,471,489
282,471,487
283,471,489
284,475,493
285,481,493
286,483,502
287,481,499
288,486,500
289,484,504
290,494,507
291,489,507
292,495,511
293,493,516
294,496,513
295,500,519
296,504,522
297,501,526
298,504,521
299,500,522
300,505,527
301,508,529
302,517,540
303,526,549
304,517,534
305,519,538
306,521,542
307,524,543
308,524,548
309,523,548
310,530,549
311,526,547
312,528,553
313,533,557
314,540,557
315,536,557
316,540,561
317,554,564
318,542,569
319,546,573
320,549,572
321,548,575
322,549,573
323,555,576
324,562,579
325,555,582
326,559,589
327,564,588
328,566,590
329,562,623
330,584,631
331,573,597
332,580,596
333,580,605
334,587,607
335,589,606
336,585,613
337,588,607
338,605,618
339,583,614
340,584,610
341,590,621
342,614,633
343,607,637
344,614,642
345,614,646
346,618,642
347,618,651
348,620,656
349,618,647
350,628,652
351,629,653
352,621,658
353,642,641
354,608,653
355,612,644
356,611,651
357,614,641
358,633,646
359,620,649
360,620,649
361,621,657
362,627,657
363,628,652
364,623,661
365,631,666
366,640,664
367,635,686
368,673,663
369,646,678
370,638,676
371,641,677
372,650,675
373,645,677
374,649,681
375,661,683
376,650,691
377,655,688
378,655,700
379,667,694
380,658,693
381,667,701
382,668,699
383,665,706
384,667,707
385,669,704
386,680,712
387,674,713
388,675,712
389,683,719
390,686,724
391,682,720
392,683,721
393,686,725
394,688,729
395,692,728
396,690,738
397,693,738
398,704,741
399,695,731
400,697,743
401,710,740
402,709,738
403,704,739
404,703,754
405,710,748
406,727,752
407,714,759
408,715,758
409,717,757
410,720,766
411,721,772
412,737,776
413,726,767
414,735,777
415,731,775
416,732,774
417,734,770
418,733,775
419,739,779
420,739,781
421,742,783
422,745,787
423,781,792
424,751,792
425,754,794
426,751,796
427,762,807
428,756,799
429,759,807
430,774,808
431,767,833
432,761,804
433,762,808
434,768,812
435,769,847
436,784,826
437,785,829
438,787,825
439,786,836
440,791,836
441,778,826
442,779,826
443,783,829
444,785,831
445,795,833
446,803,840
447,810,840
448,795,841
449,796,843
450,804,855
451,808,855
452,812,859
453,807,861
454,805,859
455,817,861
456,816,871
457,823,882
458,821,875
459,828,872
460,821,876
461,827,877
462,826,875
463,834,873
464,835,882
465,836,895
466,835,879
467,842,884
468,833,882
469,833,885
470,838,892
471,845,898
472,854,904
473,851,904
474,870,924
475,850,909
476,852,901
477,857,914
478,858,914
479,870,920
