n,Heap Branchless Parallel,Heap 4ary Branchless Parallel,Heap 8ary Parallel SIMD
3,13,13,31
4,29,18,42
5,35,23,51
6,36,49,61
7,42,62,72
8,72,72,82
9,85,79,92
10,91,81,123
11,98,88,144
12,95,95,164
13,102,103,183
14,101,104,201
15,109,111,217
16,148,117,224
17,167,124,245
18,200,125,259
19,218,132,268
20,241,138,282
21,251,145,297
22,253,177,309
23,262,195,322
24,259,217,335
25,268,231,348
26,268,261,366
27,278,280,380
28,275,298,396
29,285,318,410
30,286,348,424
31,296,366,438
32,349,384,452
33,375,399,468
34,412,415,484
35,433,427,498
36,474,438,512
37,495,450,526
38,532,454,539
39,554,465,553
40,591,474,568
41,610,483,582
42,627,487,605
43,641,498,622
44,646,509,632
45,657,519,650
46,661,525,662
47,675,536,685
48,674,547,695
49,686,559,711
50,689,563,729
51,702,575,743
52,703,587,758
53,717,599,774
54,722,601,789
55,738,613,804
56,738,624,820
57,750,636,835
58,757,641,855
59,771,653,871
60,774,665,889
61,788,677,905
62,796,682,922
63,810,695,940
64,860,707,957
65,889,719,972
66,932,726,999
67,958,737,1004
68,1005,749,1019
69,1031,760,1035
70,1073,764,1049
71,1103,829,1066
72,1145,789,1079
73,1172,796,1093
74,1213,800,1137
75,1237,811,1166
76,1282,822,1194
77,1315,835,1222
78,1346,838,1250
79,1369,851,1279
80,1415,861,1308
81,1455,873,1335
82,1474,877,1379
83,1496,890,1406
84,1527,906,1436
85,1546,922,1465
86,1567,955,1493
87,1589,978,1521
88,1601,1003,1549
89,1618,1027,1578
90,1639,1064,1622
91,1650,1191,1652
92,1659,1109,1679
93,1678,1143,1720
94,1690,1168,1740
95,1708,1196,1766
96,1714,1214,1794
97,1732,1236,1825
98,1740,1271,1867
99,1757,1297,1897
100,1774,1318,1924
