n,Heap,Heap Branchless,Heap (STL Naive)
3,21,22,28
4,33,46,47
5,46,71,71
6,67,92,92
7,92,104,120
8,108,143,147
9,124,179,179
10,148,209,204
11,174,228,234
12,199,249,276
13,226,279,314
14,256,291,338
15,290,321,375
16,311,357,408
17,329,407,447
18,358,444,472
19,387,470,511
20,416,510,554
21,444,525,596
22,482,561,623
23,519,566,664
24,551,606,730
25,577,613,775
26,613,648,800
27,653,653,847
28,694,693,894
29,728,699,939
30,773,732,961
31,817,740,1010
32,844,804,1048
33,868,842,1092
34,901,911,1121
35,933,939,1162
36,969,1024,1210
37,1000,1048,1252
38,1040,1127,1284
39,1081,1147,1323
40,1118,1230,1402
41,1143,1242,1446
42,1188,1306,1479
43,1228,1314,1519
44,1275,1374,1570
45,1309,1384,1610
46,1362,1429,1641
47,1403,1437,1690
48,1442,1488,1799
49,1473,1498,1845
50,1517,1542,1880
51,1557,1549,1923
52,1602,1597,1982
53,1640,1604,2025
54,1692,1649,2057
55,1739,1656,2107
56,1784,1705,2198
57,1820,1717,2243
58,1870,1763,2273
59,1961,1772,2324
60,1975,1817,2362
61,2022,1826,2421
62,2082,1870,2452
63,2197,1879,2504
64,2244,1960,2558
65,2259,1992,2601
66,2273,2071,2637
67,2356,2098,2674
68,2381,2183,2729
69,2436,2210,2767
70,2472,2293,2807
71,2535,2320,2890
72,2569,2415,2940
73,2606,2442,2978
74,2635,2531,3024
75,2711,2562,3058
76,2733,2660,3118
77,2790,2689,3152
78,2829,2779,3192
79,2880,2808,3229
80,2949,2915,3372
81,2985,2940,3413
82,3022,3029,3461
83,3083,3051,3500
84,3132,3137,3560
85,3178,3158,3592
86,3224,3231,3638
87,3280,3251,3673
88,3331,3327,3783
89,3370,3347,3834
90,3431,3404,3880
91,3490,3433,3920
92,3539,3481,3973
93,3584,3508,4006
94,3633,3551,4050
95,3688,3584,4077
96,3731,3623,4269
97,3782,3671,4310
98,3816,3703,4356
99,3883,3746,4396
100,3929,3775,4455
