n,Heap Branchless,Heap Branchless Pair,Heap Branchless Parallel
3,22,19,13
4,47,41,30
5,70,49,36
6,90,62,36
7,99,69,42
8,136,102,72
9,170,116,85
10,195,131,91
11,220,137,98
12,240,148,96
13,269,155,103
14,284,167,101
15,309,178,110
16,346,215,150
17,392,236,170
18,436,270,201
19,462,286,220
20,504,322,245
21,512,329,256
22,548,340,257
23,553,349,267
24,591,361,266
25,601,368,275
26,635,383,275
27,642,391,285
28,677,404,278
29,688,413,287
30,721,429,285
31,728,438,296
32,792,485,354
33,829,507,381
34,897,548,422
35,927,568,444
36,1009,617,481
37,1035,638,504
38,1109,684,543
39,1132,701,562
40,1214,745,597
41,1229,762,616
42,1291,787,635
43,1300,799,648
44,1357,822,651
45,1366,834,664
46,1414,852,668
47,1420,864,681
48,1472,880,680
49,1482,891,691
50,1527,907,693
51,1534,918,707
52,1580,934,707
53,1589,945,721
54,1633,962,724
55,1640,975,744
56,1688,991,747
57,1701,1002,752
58,1744,1021,756
59,1753,1034,772
60,1799,1051,776
61,1806,1063,789
62,1848,1080,797
63,1857,1094,813
64,1938,1142,860
65,1971,1168,887
66,2051,1212,929
67,2077,1235,959
68,2163,1285,1015
69,2190,1308,1040
70,2269,1354,1088
71,2296,1377,1108
72,2388,1428,1164
73,2421,1453,1193
74,2507,1502,1241
75,2539,1527,1261
76,2637,1579,1309
77,2666,1604,1329
78,2756,1652,1365
79,2783,1674,1391
80,2887,1727,1433
81,2911,1750,1460
82,2999,1790,1498
83,3019,1812,1512
84,3107,1853,1541
85,3127,1870,1562
86,3198,1903,1583
87,3216,1918,1599
88,3286,1948,1624
89,3316,1966,1635
90,3369,1994,1647
91,3394,2006,1665
92,3444,2030,1677
93,3479,2046,1697
94,3518,2070,1704
95,3552,2086,1723
96,3593,2109,1733
97,3641,2123,1746
98,3672,2145,1756
99,3718,2160,1774
100,3746,2178,1788
