n,Tournament Tree,Tournament Cache,Tournament External,Tournament External Cache,Tournament Branchless,Tournament Cache Branchless,Tournament External Branchless,Tournament External Cache Branchless
3,29,25,23,24,34,38,23,20
4,50,42,40,42,57,60,27,24
5,73,60,62,66,83,84,44,40
6,92,77,77,80,105,104,51,45
7,125,104,104,106,140,136,61,52
8,148,119,122,122,165,159,70,57
9,186,150,154,157,205,194,86,74
10,216,177,183,188,239,226,101,88
11,245,204,212,222,277,261,110,95
12,265,222,234,242,301,279,119,101
13,313,258,268,272,345,319,129,109
14,342,277,292,292,376,346,139,117
15,372,299,317,314,408,373,149,125
16,399,318,338,334,438,401,160,134
17,447,359,378,379,487,443,176,146
18,490,396,419,419,533,484,192,161
19,537,431,459,459,583,526,208,176
20,578,460,497,496,628,562,224,190
21,622,499,529,530,676,610,237,201
22,654,520,558,563,713,642,246,208
23,685,545,585,592,748,670,255,215
24,713,566,612,622,780,695,266,223
25,760,600,651,659,827,739,277,231
26,801,628,685,690,870,776,288,240
27,839,654,714,720,909,810,300,249
28,872,679,745,749,945,840,312,258
29,909,707,773,779,987,874,324,267
30,943,732,804,807,1023,905,337,276
31,981,758,831,834,1063,939,349,286
32,1010,782,858,862,1098,971,361,295
33,1068,826,914,913,1157,1020,377,311
34,1120,868,959,957,1209,1069,394,326
35,1174,910,1004,997,1265,1118,412,342
36,1225,950,1051,1042,1319,1165,428,358
37,1281,995,1099,1085,1374,1216,444,374
38,1332,1036,1144,1129,1429,1262,461,390
39,1382,1076,1188,1168,1482,1308,476,406
40,1427,1113,1231,1211,1532,1351,492,421
41,1481,1149,1268,1250,1591,1409,505,434
42,1527,1183,1306,1288,1643,1462,521,446
43,1572,1215,1343,1324,1694,1510,531,457
44,1611,1246,1379,1362,1738,1551,542,468
45,1653,1278,1413,1402,1786,1595,554,477
46,1691,1307,1445,1436,1826,1637,567,486
47,1725,1334,1478,1476,1866,1672,578,495
48,1762,1363,1510,1509,1903,1710,594,506
49,1815,1399,1553,1550,1963,1764,614,518
50,1861,1432,1588,1590,2010,1812,617,529
51,1907,1465,1627,1628,2066,1863,633,541
52,1952,1497,1663,1664,2109,1906,649,553
53,1998,1529,1698,1700,2160,1954,660,566
54,2039,1561,1732,1742,2204,1995,675,575
55,2077,1589,1773,1773,2246,2037,688,589
56,2118,1623,1804,1809,2290,2076,703,600
57,2161,1653,1838,1845,2338,2121,716,612
58,2204,1686,1873,1883,2385,2165,731,625
59,2248,1717,1908,1919,2430,2208,747,637
60,2288,1748,1942,1953,2473,2246,764,648
61,2331,1779,1978,1987,2514,2287,777,661
62,2373,1813,2013,2023,2558,2327,793,675
63,2416,1842,2048,2060,2603,2368,808,687
64,2451,1870,2085,2092,2650,2408,825,709
65,2520,1921,2142,2141,2716,2470,845,715
66,2578,1967,2189,2189,2784,2531,863,733
67,2636,2013,2236,2236,2847,2589,887,753
68,2696,2060,2287,2282,2907,2645,907,770
69,2755,2106,2338,2329,2979,2703,921,788
70,2813,2153,2387,2375,3038,2758,940,806
71,2875,2197,2434,2422,3100,2812,957,823
72,2932,2242,2493,2468,3160,2864,976,839
73,2995,2294,2543,2519,3229,2919,996,857
74,3060,2342,2594,2566,3305,2975,1011,873
75,3122,2389,2648,2615,3360,3027,1030,892
76,3177,2435,2705,2661,3425,3079,1047,908
77,3234,2482,2762,2708,3483,3132,1065,924
78,3294,2523,2814,2757,3546,3185,1084,943
79,3350,2564,2853,2802,3605,3236,1104,960
80,3398,2607,2912,2848,3664,3286,1118,976
81,3462,2653,2959,2893,3720,3342,1139,993
82,3525,2692,3012,2940,3790,3399,1150,1011
83,3582,2734,3060,2986,3845,3457,1169,1027
84,3632,2774,3110,3029,3907,3510,1185,1044
85,3689,2813,3159,3076,3971,3569,1207,1060
86,3741,2851,3214,3121,4024,3625,1219,1075
87,3792,2890,3253,3168,4084,3676,1233,1093
88,3837,2921,3300,3211,4131,3724,1246,1108
89,3887,2969,3344,3261,4193,3776,1263,1120
90,3931,2996,3389,3298,4245,3826,1288,1135
91,3978,3029,3436,3340,4301,3878,1294,1149
92,4021,3065,3481,3386,4353,3925,1307,1164
93,4073,3099,3527,3428,4406,3973,1329,1179
94,4119,3135,3575,3474,4461,4025,1344,1194
95,4167,3169,3619,3520,4511,4073,1363,1210
96,4206,3202,3661,3559,4565,4114,1370,1222
97,4268,3240,3711,3605,4629,4166,1388,1236
98,4330,3276,3749,3650,4694,4221,1405,1251
99,4382,3316,3797,3695,4756,4274,1426,1265
100,4444,3355,3845,3740,4821,4328,1441,1279
