n,Tournament External Cache Branchless,Tournament 4ary,Tournament 8ary,Loser 4ary,Loser 8ary
3,20,39,40,35,36
4,24,56,56,53,56
5,40,90,73,74,74
6,45,121,90,99,99
7,51,145,107,125,124
8,57,168,125,147,145
9,73,198,203,169,176
10,87,225,242,198,207
11,95,245,280,229,239
12,101,268,313,256,267
13,109,300,343,286,298
14,117,326,371,314,326
15,124,344,394,340,352
16,134,367,421,365,378
17,145,469,457,404,402
18,161,504,494,436,433
19,176,540,528,469,465
20,190,579,559,501,494
21,201,630,589,538,528
22,207,670,615,570,560
23,215,700,638,602,591
24,222,735,665,631,619
25,231,773,702,668,654
26,239,805,737,702,688
27,248,831,768,735,720
28,257,862,798,764,748
29,266,900,826,798,781
30,275,933,854,828,810
31,285,960,877,859,840
32,294,990,904,888,868
33,310,1032,941,917,897
34,325,1077,976,951,930
35,341,1114,1009,994,965
36,357,1158,1040,1028,999
37,377,1201,1070,1072,1036
38,390,1241,1099,1109,1071
39,405,1275,1124,1153,1108
40,419,1309,1150,1185,1142
41,434,1341,1190,1221,1186
42,447,1374,1226,1274,1225
43,457,1404,1261,1311,1265
44,467,1435,1292,1367,1299
45,476,1470,1326,1385,1338
46,486,1505,1354,1420,1373
47,496,1536,1379,1464,1409
48,507,1570,1407,1491,1442
49,518,1617,1448,1536,1484
50,529,1664,1491,1568,1526
51,542,1706,1516,1612,1567
52,552,1746,1548,1657,1603
53,564,1789,1579,1712,1645
54,575,1831,1609,1737,1681
55,587,1864,1637,1795,1716
56,600,1900,1664,1804,1750
57,611,1931,1708,1847,1790
58,623,1965,1743,1915,1826
59,637,1993,1779,1934,1862
60,648,2028,1811,1972,1897
61,661,2064,1848,1993,1932
62,674,2100,1876,2063,1968
63,687,2133,1907,2070,2002
64,708,2168,1933,2141,2037
65,715,2531,2399,2189,2157
66,732,2573,2455,2233,2201
67,753,2625,2503,2282,2247
68,771,2684,2561,2323,2285
69,788,2752,2623,2413,2331
70,806,2803,2680,2410,2376
71,824,2856,2727,2457,2411
72,840,2904,2777,2509,2454
73,858,2964,2841,2545,2503
74,874,3011,2898,2605,2545
75,892,3054,2952,2636,2590
76,908,3105,3009,2676,2630
77,927,3167,3081,2725,2674
78,942,3218,3110,2758,2715
79,959,3264,3155,2798,2756
80,977,3310,3208,2857,2796
81,994,3369,3266,2960,2845
82,1010,3423,3320,3024,2895
83,1027,3476,3375,3067,2943
84,1043,3530,3423,3096,2988
85,1059,3585,3482,3081,3039
86,1076,3636,3528,3124,3084
87,1091,3687,3571,3243,3128
88,1109,3734,3624,3211,3171
89,1121,3780,3682,3394,3217
90,1138,3825,3731,3317,3261
91,1152,3868,3778,3428,3304
92,1165,3913,3823,3479,3343
93,1179,3966,3876,3502,3388
94,1196,4014,3925,3485,3431
95,1207,4058,3957,3522,3469
96,1222,4103,4010,3611,3508
97,1238,4156,4057,3636,3558
98,1250,4207,4102,3734,3605
99,1265,4250,4152,3759,3655
100,1278,4294,4198,3758,3697
