n,Tournament External Cache Branchless,Tournament 4ary,Tournament 8ary,Loser 4ary,Loser 8ary
3,2,3,4,3,3
4,2,5,5,5,5
5,4,9,7,7,7
6,4,12,9,10,10
7,5,14,10,12,12
8,5,17,12,14,14
9,7,20,20,17,17
10,8,23,24,20,20
11,9,24,28,23,24
12,10,27,31,26,27
13,11,30,34,29,30
14,11,33,37,32,32
15,12,34,39,34,35
16,13,37,42,37,38
17,14,47,46,40,40
18,16,50,49,44,43
19,17,54,53,47,47
20,19,58,56,50,49
21,20,63,59,54,53
22,20,67,62,57,56
23,21,70,64,60,59
24,22,73,67,63,62
25,23,77,71,67,65
26,24,81,74,70,69
27,25,83,77,73,72
28,25,86,80,76,75
29,26,90,83,80,78
30,27,93,86,83,81
31,28,96,88,86,84
32,29,99,90,89,87
33,31,103,94,91,90
34,32,107,98,95,93
35,34,111,101,99,96
36,35,116,104,103,100
37,37,120,107,107,104
38,38,124,110,111,107
39,40,127,112,115,111
40,41,131,115,118,114
41,43,134,119,123,118
42,44,137,122,127,122
43,45,140,126,131,126
44,46,143,129,137,130
45,47,147,132,142,134
46,48,150,135,142,137
47,49,153,138,149,140
48,50,156,140,149,144
49,51,161,144,154,148
50,52,166,148,159,152
51,53,170,151,160,156
52,54,174,154,167,160
53,55,179,157,175,164
54,56,183,160,176,167
55,57,186,163,177,171
56,59,189,165,184,174
57,60,193,170,187,178
58,61,196,173,189,182
59,62,199,177,195,185
60,63,202,180,195,189
61,64,206,183,200,192
62,66,209,186,209,196
63,67,213,190,207,199
64,69,216,192,210,203
65,69,252,239,220,216
66,71,256,244,224,219
67,73,262,250,229,224
68,75,267,254,233,227
69,77,274,261,238,232
70,78,279,267,242,236
71,80,285,272,247,242
72,82,290,277,251,245
73,84,295,283,258,250
74,85,301,289,262,254
75,87,305,295,268,259
76,89,310,301,275,262
77,91,316,305,275,267
78,93,321,312,278,272
79,95,326,317,285,276
80,96,331,321,294,279
81,98,337,328,294,285
82,100,342,333,299,290
83,101,347,338,304,295
84,103,352,344,309,299
85,105,358,348,311,304
86,106,364,353,318,309
87,108,368,357,324,314
88,110,374,363,326,317
89,111,378,369,332,323
90,112,382,373,338,327
91,114,388,379,341,331
92,116,391,383,345,335
93,117,397,390,349,339
94,119,402,391,354,344
95,120,406,397,360,347
96,122,411,401,360,351
97,123,416,406,366,356
98,125,421,411,373,361
99,125,426,416,381,366
100,127,430,420,380,371
101,128,435,424,384,376
102,130,440,430,389,379
103,131,443,433,397,384
104,133,448,437,396,388
105,134,452,443,403,392
106,135,455,448,411,396
107,137,460,452,418,400
108,138,463,456,420,406
109,139,468,461,420,409
110,140,472,466,431,413
111,142,476,469,427,417
112,143,481,473,434,421
113,144,487,476,438,426
114,146,491,480,444,430
115,147,496,482,445,435
116,149,501,487,447,438
117,150,505,492,457,443
118,151,510,495,466,446
119,153,514,498,460,449
120,154,519,502,470,453
121,155,523,508,471,458
122,156,527,512,478,462
123,158,531,516,477,465
124,159,534,520,481,470
125,160,539,524,487,474
126,162,544,530,488,477
127,163,547,533,494,482
128,165,551,538,498,486
129,166,557,543,500,489
130,168,563,549,513,493
131,170,569,554,519,499
132,172,575,559,520,502
133,173,581,566,524,507
134,175,587,571,528,511
135,177,593,576,538,517
136,179,599,581,540,520
137,180,603,588,551,525
138,183,608,593,550,530
139,184,613,599,555,535
140,186,618,603,559,540
141,188,624,609,567,545
142,189,629,615,571,548
143,191,634,620,575,552
144,193,639,625,582,557
