n,Bubble Branchless Cache (O1),Bubble Branchless Cache (O2),Bubble Branchless Cache (O3),Bubble Branchless Cache (Os),Bubble Branchless Cache (Oz)
3,113,112,112,116,120
4,174,172,171,187,183
5,256,252,252,273,279
6,359,353,353,420,386
7,482,477,477,523,548
8,622,608,607,654,697
9,774,759,759,815,843
10,950,927,927,996,1055
11,1131,1117,1116,1160,1257
12,1340,1314,1314,1363,1482
13,1562,1532,1532,1582,1710
14,1796,1770,1770,1834,1935
15,2059,2028,2028,2091,2207
16,2330,2293,2293,2376,2504
17,2620,2577,2577,2669,2796
18,2914,2881,2881,2990,3100
19,3250,3206,3205,3317,3443
20,3593,3540,4461,3670,3799
21,3952,3894,3893,4025,4155
22,4303,4269,4268,4423,4557
23,4726,4665,4664,4816,4976
24,5138,5072,5072,5245,5385
25,5565,5498,5498,5674,5829
26,5982,5944,5945,6152,6302
27,6475,6405,6404,6616,6801
28,6959,6882,6882,7123,7282
29,7462,7374,7373,7621,7794
30,7930,7890,7890,8172,8339
