n,Bubble,Bubble Branchless,Bubble Branchless Cache,Bubble Branchless Pair
3,230,251,112,251
4,371,390,171,390
5,545,548,252,540
6,735,712,353,719
7,946,899,477,911
8,1176,1115,607,1148
9,1443,1347,759,1389
10,1737,1609,926,1657
11,2048,1887,1116,1918
12,2442,2173,1314,2202
13,2734,2452,1531,2504
14,3097,2911,1769,2835
15,3514,3269,2027,3184
16,3929,3691,2291,3567
17,4424,4131,2575,3913
18,5037,4640,2879,4386
19,5695,5050,3205,4854
20,6361,5609,3538,5330
21,7031,6084,3891,5794
22,7732,6620,4266,6292
23,8443,7203,4663,6787
24,9200,7786,5069,7279
25,9963,8346,5493,7819
26,10739,8976,5939,8362
27,11501,9658,6401,8976
28,12271,10354,6879,9650
29,13020,11058,7369,10250
30,13837,11758,7887,10937
