n,Find Branchless Cache (O1),Find Branchless Cache (O2),Find Branchless Cache (O3),Find Branchless Cache (Os),Find Branchless Cache (Oz)
3,156,138,142,138,141
4,218,190,202,195,196
5,295,255,267,282,261
6,384,327,345,393,342
7,506,419,435,521,442
8,604,508,540,666,542
9,716,607,658,830,648
10,830,741,775,1012,771
11,951,869,906,1211,913
12,1094,999,1041,1429,1049
13,1262,1135,1194,1664,1201
14,1426,1278,1363,1917,1359
15,1594,1434,1522,2188,1551
16,1783,1604,1698,2477,1716
17,1974,1783,1897,2784,1910
18,2174,1978,2093,3108,2109
19,2386,2199,2303,3452,2350
20,2604,2370,2525,3812,2553
21,2835,2577,2757,4192,2788
22,3080,2793,2993,4590,3031
23,3330,3027,3246,5007,3319
24,3598,3273,3506,5442,3562
25,3875,3515,3785,5896,3838
26,4163,3776,4070,6369,4127
27,4459,4036,4368,6859,4464
28,4765,4324,4674,7368,4750
29,5078,4606,4991,7893,5067
30,5404,4906,5310,8444,5397
