n,Find,Find Cache,Find Pair,Find Branchless Cache,Find SIMD
3,200,196,195,142,374
4,316,299,302,202,494
5,456,404,417,267,598
6,605,536,532,345,700
7,734,651,665,436,881
8,987,807,843,541,1001
9,1302,1006,1101,658,1169
10,1687,1291,1531,773,1283
11,2028,1612,1789,907,1469
12,2550,2139,2064,1041,1597
13,2925,2458,2576,1194,1722
14,3395,3012,2976,1363,1847
15,3798,3391,3309,1523,2038
16,4181,3754,3654,1698,2167
17,4611,4073,3966,1897,2347
18,5004,4402,4309,2091,2471
19,5403,4716,4650,2301,2649
20,5870,5074,5001,2526,2787
21,6357,5438,5394,2754,2922
22,6832,5829,5782,2991,3054
23,7317,6194,6168,3245,3233
24,7781,6610,6602,3503,3380
25,8281,7003,7016,3785,3563
26,8817,7464,7458,4067,3696
27,9360,7793,7792,4364,3893
28,9928,8205,8368,4670,4041
29,10487,8664,8884,4987,4180
30,11279,9196,9354,5308,4318
