n,Baseline (copy+sort),Find SIMD (O2),Insert Cache Pair (O1),Bubble Branchless Cache (O2),Heap Branchless Parallel (Os),Heap 4ary Branchless Parallel (Os),Heap 8ary Parallel SIMD (O2),Tournament External Cache Branchless (O3)
3,68,30,20,11,13,13,30,21
4,107,40,30,17,30,17,40,24
5,115,50,41,25,37,22,52,40
6,152,61,52,35,41,50,60,45
7,164,72,63,47,48,64,70,50
8,199,83,75,60,74,75,80,56
9,212,104,88,76,85,82,91,72
10,249,117,99,92,89,83,122,87
11,260,130,112,111,96,90,142,96
12,298,143,125,131,93,97,159,101
13,307,156,138,153,100,104,177,109
14,350,168,159,177,99,103,201,117
15,358,181,174,202,106,110,210,124
16,399,194,189,230,144,116,224,134
17,406,209,204,258,164,123,246,145
18,448,222,219,288,196,122,255,160
19,456,235,234,406,213,128,269,175
20,502,248,250,354,230,134,286,189
21,505,261,266,389,240,141,298,201
22,551,274,281,427,240,174,311,209
23,558,287,299,467,249,194,323,216
24,599,300,317,508,242,213,336,223
25,609,326,335,550,249,231,349,231
26,652,339,353,594,247,262,370,240
27,654,352,372,639,256,281,383,248
28,704,366,392,688,252,302,396,257
29,704,380,410,737,261,322,410,266
30,773,394,431,789,267,354,424,275
31,757,408,452,843,277,371,438,285
32,806,421,481,898,317,389,451,295
33,805,446,503,1096,341,404,465,310
34,853,459,523,1011,382,417,484,325
35,854,473,546,1070,403,429,498,341
36,911,487,569,1132,446,439,512,357
37,907,501,592,1196,468,450,526,373
38,960,516,616,1431,504,452,539,389
39,960,530,640,1329,524,477,553,405
40,1010,544,666,1571,561,471,567,419
41,1010,588,692,1469,582,497,581,433
42,1064,602,718,1723,597,483,607,445
43,1060,617,745,1613,626,493,622,456
44,1111,633,773,1689,615,504,638,465
45,1111,648,801,1768,636,514,646,476
46,1167,663,829,1847,629,518,666,486
47,1157,679,858,1927,642,530,678,496
48,1226,695,888,2012,638,538,694,507
49,1212,742,918,2099,649,549,711,519
50,1268,758,950,2183,651,553,728,529
51,1260,774,981,2271,663,564,744,540
52,1320,790,1012,2362,662,576,758,552
53,1309,806,1045,2453,675,586,773,567
54,1395,823,1078,2547,680,588,789,576
55,1365,839,1112,2639,693,598,804,587
56,1436,855,1147,2739,691,610,820,600
57,1415,911,1180,2839,704,622,835,611
58,1482,928,1216,2938,708,624,856,623
59,1468,945,1251,3039,721,636,872,635
60,1538,962,1287,3149,724,648,888,647
61,1515,979,1325,3248,736,660,905,659
62,1589,996,1361,3356,749,665,921,673
63,1566,1014,1398,3462,764,677,938,686
64,1650,1031,1437,3577,800,689,956,709
65,1632,1094,1477,3690,837,701,973,713
66,1701,1111,1515,3802,863,707,988,732
67,1670,1128,1553,3921,895,721,1004,750
68,1750,1146,1592,4033,932,731,1019,769
69,1722,1162,1633,4154,955,743,1034,787
70,1794,1178,1673,4272,993,745,1049,805
71,1777,1194,1713,4392,1017,763,1064,825
72,1847,1212,1753,4518,1063,766,1079,840
73,1829,1249,1794,4647,1090,776,1105,857
74,1894,1264,1835,4770,1134,779,1135,875
75,1879,1280,1877,5212,1155,789,1163,890
76,1967,1297,1920,5341,1208,800,1189,908
77,1924,1313,1963,5481,1231,810,1216,923
78,2005,1329,2006,5624,1274,814,1240,941
79,1978,1345,2050,5768,1292,825,1267,958
80,2076,1365,2093,5912,1339,837,1293,975
81,2034,1408,2139,6041,1364,847,1319,992
82,2113,1424,2185,6201,1402,852,1361,1010
83,2086,1442,2230,6358,1423,868,1385,1024
84,2171,1462,2277,6477,1452,886,1415,1040
85,2137,1479,2328,6635,1475,890,1438,1056
86,2237,1498,2376,6804,1493,929,1465,1072
87,2190,1518,2425,6958,1512,959,1492,1087
88,2273,1538,2475,6743,1540,980,1517,1103
89,2255,1597,2527,6902,1546,1004,1549,1118
90,2316,1619,2578,7054,1577,1044,1589,1135
91,2296,1641,2629,7215,1573,1064,1616,1150
92,2373,1659,2681,7374,1582,1087,1643,1163
93,2342,1678,2728,7541,1600,1114,1678,1176
94,2441,1698,2785,7694,1610,1150,1704,1193
95,2397,1717,2841,7858,1626,1173,1732,1205
96,2497,1734,2894,8440,1631,1195,1760,1219
97,2444,1792,2946,8598,1647,1219,1786,1233
98,2537,1810,2998,8774,1655,1256,1830,1247
99,2507,1830,3053,8945,1671,1279,1858,1260
100,2599,1847,3108,9123,1682,1305,1887,1275
