n,Heap 4ary Branchless Parallel (O1),Heap 4ary Branchless Parallel (O2),Heap 4ary Branchless Parallel (O3),Heap 4ary Branchless Parallel (Os),Heap 4ary Branchless Parallel (Oz)
3,13,13,13,13,13
4,18,18,18,17,17
5,23,23,23,23,23
6,51,50,49,51,50
7,65,63,62,64,64
8,75,72,72,75,74
9,83,80,79,82,82
10,84,82,81,83,84
11,91,89,88,91,91
12,98,96,95,97,98
13,105,104,102,105,106
14,105,105,104,104,107
15,112,112,110,110,114
16,119,119,117,117,121
17,126,125,124,123,128
18,126,125,125,122,130
19,132,131,131,128,136
20,139,138,138,134,143
21,145,144,145,146,150
22,181,179,177,174,183
23,201,198,195,194,204
24,221,216,214,214,224
25,240,235,231,234,245
26,270,264,260,266,278
27,289,282,278,285,298
28,308,301,299,305,317
29,329,320,316,324,336
30,361,353,349,356,368
31,378,371,374,374,385
32,395,387,383,390,403
33,410,403,398,407,417
34,427,417,414,421,432
35,436,429,426,431,444
36,446,444,438,444,455
37,460,452,449,457,467
38,461,455,452,460,471
39,470,464,463,469,481
40,480,474,472,483,492
41,491,484,483,491,502
42,494,487,487,494,505
43,505,498,497,505,516
44,517,509,510,516,527
45,528,522,519,528,539
46,532,524,524,531,542
47,544,536,535,543,554
48,555,547,547,553,564
49,568,558,558,564,576
50,572,564,563,566,580
51,583,575,575,578,592
52,596,587,587,589,603
53,608,598,599,600,615
54,610,601,602,599,617
55,621,613,613,609,630
56,633,624,625,620,639
57,644,635,635,631,653
58,647,639,670,632,680
59,659,652,682,645,668
60,672,664,664,656,680
61,684,676,676,668,691
62,688,683,681,673,698
63,723,697,694,682,710
64,713,706,705,693,723
65,726,720,718,706,735
66,730,725,724,711,742
67,742,737,737,722,753
68,755,749,748,734,766
69,767,761,761,746,779
70,774,764,765,746,782
71,780,775,774,756,793
72,790,787,789,767,804
73,801,801,800,777,815
74,804,800,800,783,819
75,815,812,814,790,831
76,825,822,821,803,840
77,838,833,831,810,853
78,841,837,838,814,863
79,856,866,851,833,867
80,863,859,915,837,879
81,875,875,870,848,893
82,881,877,877,853,897
83,893,890,889,865,910
84,907,903,902,877,938
85,920,916,915,890,939
86,960,963,953,933,978
87,985,978,978,956,1001
88,1011,1003,1002,1000,1027
89,1036,1028,1029,1065,1052
90,1075,1063,1061,1047,1089
91,1100,1087,1084,1074,1118
92,1126,1110,1108,1100,1136
93,1155,1134,1132,1124,1162
94,1193,1169,1170,1169,1197
95,1221,1197,1193,1194,1224
96,1243,1220,1214,1219,1250
97,1271,1242,1239,1245,1275
98,1310,1277,1273,1289,1319
99,1343,1326,1296,1315,1339
100,1388,1335,1321,1341,1366
