n,Heap 8ary Parallel SIMD (O1),Heap 8ary Parallel SIMD (O2),Heap 8ary Parallel SIMD (O3),Heap 8ary Parallel SIMD (Os),Heap 8ary Parallel SIMD (Oz)
3,28,31,30,41,42
4,39,41,42,55,57
5,46,52,51,70,72
6,55,60,61,85,87
7,64,71,72,99,102
8,73,81,82,114,117
9,83,91,93,129,132
10,118,122,122,173,179
11,136,144,144,204,212
12,156,159,164,235,245
13,174,183,183,265,277
14,193,194,195,296,310
15,209,217,216,325,339
16,225,232,230,352,370
17,244,245,237,380,400
18,263,260,254,409,426
19,278,268,267,433,453
20,293,283,283,457,481
21,305,297,294,482,506
22,318,309,308,507,532
23,332,322,321,531,557
24,346,335,334,556,582
25,360,348,347,580,607
26,379,366,368,609,643
27,395,383,381,636,664
28,418,395,395,661,690
29,426,410,408,687,715
30,447,424,423,713,744
31,462,438,437,739,770
32,476,453,452,761,797
33,491,467,466,786,817
34,505,484,483,827,852
35,519,498,496,844,878
36,534,511,510,870,903
37,549,526,524,894,929
38,564,539,537,920,954
39,579,553,552,944,980
40,593,567,565,969,1006
41,608,581,579,995,1031
42,629,600,605,1029,1067
43,660,622,614,1051,1093
44,670,637,635,1079,1121
45,691,657,649,1106,1146
46,695,666,664,1132,1173
47,723,681,677,1158,1200
48,739,696,694,1185,1229
49,755,711,709,1215,1253
50,763,728,726,1244,1286
51,779,743,742,1269,1312
52,796,759,757,1296,1338
53,811,773,772,1321,1365
54,828,788,787,1348,1391
55,843,804,802,1375,1418
56,860,819,817,1400,1446
57,875,834,833,1425,1473
58,897,855,853,1457,1505
59,915,872,870,1485,1535
60,932,888,886,1514,1563
61,950,906,904,1542,1591
62,967,922,919,1572,1617
63,985,939,936,1598,1646
64,1002,955,954,1627,1676
65,1021,973,971,1657,1705
66,1038,988,988,1683,1732
67,1055,1004,1003,1710,1761
68,1071,1019,1021,1737,1786
69,1087,1035,1047,1764,1813
70,1104,1049,1055,1789,1842
71,1119,1064,1065,1816,1867
72,1134,1078,1078,1842,1893
73,1149,1092,1093,1866,1920
74,1188,1136,1134,1925,1980
75,1213,1163,1163,1965,2023
76,1239,1188,1191,2005,2065
77,1272,1215,1227,2046,2111
78,1291,1241,1246,2088,2150
79,1316,1267,1274,2127,2194
80,1341,1294,1304,2168,2236
81,1367,1320,1331,2206,2291
82,1404,1360,1376,2264,2339
83,1431,1385,1403,2313,2383
84,1456,1413,1431,2352,2429
85,1481,1440,1459,2385,2471
86,1505,1476,1488,2426,2514
87,1530,1491,1516,2473,2560
88,1557,1519,1544,2506,2599
89,1582,1548,1573,2549,2643
90,1622,1590,1619,2609,2705
91,1650,1618,1649,2644,2752
92,1674,1646,1679,2680,2795
93,1701,1673,1705,2721,2834
94,1728,1701,1735,2761,2877
95,1754,1730,1764,2808,2920
96,1782,1769,1793,2842,2961
97,1808,1787,1819,2888,3009
98,1847,1830,1866,2934,3065
99,1870,1857,1892,2975,3120
100,1901,1893,1921,3017,3156
