n,Heap Branchless Parallel (O1),Heap Branchless Parallel (O2),Heap Branchless Parallel (O3),Heap Branchless Parallel (Os),Heap Branchless Parallel (Oz)
3,14,13,13,13,13
4,31,30,29,30,33
5,38,36,35,37,41
6,41,36,36,41,40
7,48,42,41,48,47
8,77,74,72,74,83
9,90,88,85,86,99
10,92,94,91,88,110
11,98,101,98,95,121
12,95,96,94,91,121
13,102,103,101,98,129
14,102,101,101,99,126
15,110,109,108,106,135
16,149,148,146,142,181
17,169,168,165,160,203
18,202,203,198,193,235
19,220,221,218,210,253
20,237,246,240,228,273
21,247,256,252,237,285
22,247,258,253,237,291
23,257,268,263,246,302
24,253,261,259,241,301
25,262,270,268,249,312
26,262,268,268,247,314
27,271,278,278,256,325
28,270,273,275,252,326
29,279,282,284,261,338
30,282,283,285,266,341
31,291,293,295,276,352
32,336,339,341,314,398
33,359,365,364,336,423
34,400,402,403,379,463
35,422,425,425,395,486
36,465,469,467,436,530
37,486,491,489,458,555
38,526,531,528,497,593
39,546,554,550,517,614
40,580,599,591,561,651
41,598,619,609,580,670
42,612,638,627,597,691
43,626,654,642,610,704
44,626,659,648,615,710
45,638,672,660,626,725
46,643,675,664,630,732
47,652,689,677,642,747
48,647,685,676,640,749
49,660,697,688,659,761
50,659,698,691,653,765
51,671,712,703,666,780
52,670,711,704,664,783
53,682,723,723,677,799
54,686,727,722,680,804
55,699,741,736,693,819
56,699,740,737,691,823
57,711,752,750,704,837
58,715,757,755,708,844
59,729,770,769,721,860
60,731,771,772,723,865
61,745,785,786,736,880
62,748,792,794,750,888
63,761,807,809,766,904
64,813,853,855,801,955
65,840,881,882,826,984
66,882,922,921,866,1030
67,906,954,946,891,1059
68,951,991,990,937,1122
69,979,1018,1018,962,1139
70,1022,1059,1057,1004,1187
71,1045,1084,1082,1046,1213
72,1097,1134,1130,1079,1267
73,1125,1162,1158,1137,1300
74,1168,1210,1199,1143,1351
75,1196,1233,1223,1171,1378
76,1242,1286,1273,1214,1423
77,1269,1309,1296,1236,1450
78,1311,1353,1340,1282,1488
79,1337,1377,1367,1314,1509
80,1387,1436,1413,1348,1547
81,1411,1455,1440,1371,1575
82,1446,1493,1476,1429,1603
83,1470,1518,1498,1429,1630
84,1500,1551,1527,1457,1650
85,1563,1573,1550,1476,1671
86,1539,1594,1570,1496,1691
87,1574,1615,1594,1516,1713
88,1569,1629,1603,1532,1726
89,1588,1649,1645,1553,1747
90,1599,1661,1637,1557,1759
91,1638,1680,1662,1576,1785
92,1629,1689,1664,1585,1788
93,1662,1708,1685,1618,1809
94,1653,1720,1693,1615,1818
95,1671,1738,1712,1631,1843
96,1675,1741,1736,1634,1841
97,1703,1758,1735,1650,1854
98,1707,1766,1765,1658,1862
99,1716,1790,1761,1675,1880
100,1721,1792,1767,1681,1883
