n,Baseline (copy+sort),Find Branchless Cache (O2),Find SIMD (O2),Insert Cache Pair (O1),Bubble Branchless Cache (O2),Heap Branchless Parallel (Os),Heap 4ary Branchless Parallel (Os),Heap 8ary Parallel SIMD (O2),Tournament External Cache Branchless (O3)
3,750,138,302,208,112,131,133,303,210
4,1151,190,404,308,172,306,178,405,244
5,1238,255,508,412,252,375,227,524,401
6,1692,329,611,519,354,414,508,606,452
7,1765,420,716,630,477,480,646,705,500
8,2166,510,822,744,607,743,748,804,558
9,2278,608,1021,863,759,860,828,904,717
10,2692,741,1138,966,926,885,839,1214,864
11,2788,870,1256,1084,1116,950,910,1426,941
12,3242,1000,1372,1210,1314,919,980,1588,986
13,3313,1134,1492,1338,1531,985,1050,1765,1053
14,3767,1279,1607,1538,1769,997,1037,1995,1122
15,3837,1436,1731,1687,2027,1067,1102,2152,1192
16,4312,1605,1855,1833,2292,1423,1166,2229,1287
17,4354,1783,1997,1983,2576,1611,1231,2438,1405
18,4845,1978,2114,2126,2880,1936,1219,2573,1562
19,4874,2198,2236,2276,3205,2154,1281,2695,1715
20,5432,2369,2358,2423,3538,2280,1343,2823,1860
21,5411,2576,2479,2583,3891,2372,1407,2952,1974
22,5921,2793,2600,2734,4268,2372,1751,3077,2047
23,5934,3023,2726,2906,4662,2460,1951,3205,2107
24,6502,3270,2852,3085,5069,2409,2154,3338,2174
25,6461,3514,3095,3266,5495,2486,2343,3471,2250
26,7031,3773,3234,3449,5940,2475,2665,3652,2334
27,7009,4036,3375,3642,6403,2570,2851,3828,2415
28,7576,4322,3514,3839,6883,2535,3040,3968,2505
29,7526,4609,3651,4035,7376,2625,3232,4094,2595
30,8091,4907,3786,4239,7890,2704,3557,4240,2684
