n,Tournament Tree,Tournament Cache,Tournament External,Tournament External Cache,Tournament Branchless,Tournament Cache Branchless,Tournament External Branchless,Tournament External Cache Branchless
3,29,25,23,25,34,38,23,21
4,51,42,41,43,59,60,27,24
5,75,61,62,64,85,85,45,41
6,94,79,78,81,109,105,52,46
7,127,105,105,106,142,138,62,51
8,150,120,125,123,168,161,71,58
9,189,152,157,157,208,197,88,74
10,219,180,186,184,242,229,104,89
11,249,207,217,215,281,264,113,98
12,269,225,237,229,306,283,122,105
13,320,260,271,268,351,323,133,112
14,348,279,296,291,383,350,141,118
15,378,303,319,313,415,378,152,126
16,406,322,342,333,446,406,163,137
17,453,364,384,375,495,449,179,148
18,499,404,425,419,544,489,197,163
19,545,440,467,460,591,532,212,179
20,586,469,500,493,636,568,228,192
21,630,505,536,527,687,618,241,205
22,661,529,563,553,721,649,250,214
23,691,548,593,588,758,677,259,219
24,721,572,617,600,789,704,269,226
25,770,605,658,640,837,747,280,235
26,809,632,691,673,878,785,291,243
27,845,660,720,696,918,817,302,252
28,879,682,748,722,958,851,316,261
29,917,710,779,751,997,881,328,269
30,950,735,812,777,1030,911,339,279
31,989,763,838,804,1070,946,351,289
32,1019,783,864,829,1107,980,364,300
33,1077,832,910,877,1166,1028,380,315
34,1128,872,974,921,1223,1078,397,329
35,1185,917,1026,968,1279,1128,417,345
36,1235,958,1068,1010,1328,1177,433,362
37,1288,1001,1111,1078,1389,1225,450,380
38,1343,1039,1160,1119,1440,1272,466,395
39,1391,1082,1204,1165,1501,1322,485,412
40,1441,1120,1246,1202,1557,1364,497,431
41,1496,1156,1287,1242,1608,1428,514,445
42,1544,1189,1323,1281,1660,1483,529,454
43,1583,1222,1356,1315,1711,1526,536,465
44,1623,1249,1393,1343,1752,1564,550,476
45,1664,1280,1423,1378,1797,1612,559,488
46,1705,1309,1454,1407,1843,1651,575,497
47,1742,1341,1492,1437,1881,1695,591,508
48,1775,1367,1526,1467,1916,1720,597,516
49,1826,1405,1562,1505,1973,1778,616,528
50,1881,1439,1600,1540,2024,1837,625,544
51,1930,1472,1643,1577,2084,1882,644,551
52,1973,1507,1682,1614,2126,1927,656,563
53,2018,1545,1714,1648,2176,1972,677,573
54,2060,1568,1750,1673,2223,2009,679,588
55,2098,1600,1787,1704,2264,2054,695,595
56,2134,1635,1820,1739,2308,2094,709,607
57,2181,1665,1856,1775,2361,2138,729,618
58,2221,1695,1891,1809,2403,2180,743,631
59,2266,1729,1923,1842,2448,2224,757,643
60,2307,1759,1960,1877,2496,2263,769,657
61,2353,1791,1996,1913,2539,2306,786,669
62,2392,1821,2032,1946,2580,2348,802,684
63,2439,1854,2067,1983,2622,2388,830,691
64,2482,1882,2096,2007,2671,2429,837,716
65,2542,1932,2152,2061,2738,2483,853,723
66,2595,1984,2211,2114,2802,2545,871,742
67,2660,2027,2261,2164,2868,2614,896,761
68,2717,2079,2318,2214,2934,2671,908,780
69,2776,2119,2377,2261,2993,2736,927,795
70,2841,2166,2425,2313,3057,2790,950,821
71,2899,2214,2479,2365,3127,2838,967,834
72,2956,2259,2536,2409,3188,2890,991,851
73,3022,2305,2584,2466,3250,2955,1002,871
74,3080,2358,2631,2515,3327,3000,1024,886
75,3146,2410,2681,2568,3380,3056,1038,910
76,3198,2452,2736,2620,3438,3103,1058,922
77,3251,2498,2779,2664,3506,3159,1073,942
78,3308,2536,2841,2732,3551,3231,1093,959
79,3366,2583,2879,2760,3622,3265,1107,969
80,3423,2622,2926,2813,3674,3311,1128,993
81,3491,2668,2973,2869,3745,3372,1141,1009
82,3552,2706,3036,2912,3802,3423,1161,1029
83,3605,2749,3091,2956,3863,3487,1184,1042
84,3659,2789,3135,3006,3919,3542,1188,1058
85,3717,2827,3190,3051,3975,3595,1214,1075
86,3766,2864,3248,3104,4035,3652,1225,1092
87,3811,2911,3289,3143,4084,3708,1240,1111
88,3861,2943,3345,3182,4140,3756,1259,1125
89,3915,2984,3389,3231,4203,3801,1275,1141
90,3964,3011,3439,3276,4255,3860,1284,1157
91,4008,3067,3471,3325,4300,3933,1304,1172
92,4064,3091,3521,3362,4353,3963,1320,1188
93,4102,3119,3571,3409,4414,4010,1348,1198
94,4155,3162,3617,3456,4474,4055,1359,1219
95,4207,3191,3660,3492,4522,4110,1372,1229
96,4251,3226,3699,3538,4571,4152,1384,1241
97,4307,3266,3756,3577,4633,4201,1404,1262
98,4365,3310,3790,3623,4682,4255,1416,1274
99,4416,3341,3841,3669,4756,4316,1447,1284
100,4486,3377,3877,3714,4817,4359,1454,1301
